Pos,No,Driver,Car,Lap,Time,Avg speed
1,14,Mark WebberWEB,RBR Renault,50,1:32.569,225.833
2,15,Sebastian VettelVET,RBR Renault,43,1:32.572,225.826
3,4,Kimi RäikkönenRAI,Ferrari,33,1:32.999,224.789
4,9,Jarno TrulliTRU,Toyota,38,1:33.152,224.420
5,22,Jenson ButtonBUT,Brawn Mercedes,42,1:33.251,224.182
6,1,Lewis HamiltonHAM,McLaren Mercedes,13,1:33.259,224.162
7,5,Robert KubicaKUB,Sauber BMW,44,1:33.334,223.982
8,3,Giancarlo FisichellaFIS,Ferrari,33,1:33.479,223.635
9,16,Nico RosbergROS,Williams Toyota,43,1:33.595,223.358
10,6,Nick HeidfeldHEI,Sauber BMW,13,1:33.600,223.346
11,20,Adrian SutilSUT,Force India Mercedes,36,1:33.668,223.184
12,2,Heikki KovalainenKOV,McLaren Mercedes,35,1:33.801,222.867
13,23,Rubens BarrichelloBAR,Brawn Mercedes,17,1:33.910,222.608
14,7,Fernando AlonsoALO,Renault,28,1:33.946,222.523
15,11,Jaime AlguersuariALG,STR Ferrari,34,1:34.049,222.279
16,21,Vitantonio LiuzziLIU,Force India Mercedes,36,1:34.294,221.702
17,8,Romain GrosjeanGRO,Renault,39,1:34.643,220.884
18,17,Kazuki NakajimaNAK,Williams Toyota,26,1:34.783,220.558
19,12,Sebastien BuemiBUE,STR Ferrari,5,1:35.392,219.150
