Pos,No,Driver,Car,Lap,Time,Avg speed
1,22,Jenson ButtonBUT,Brawn Mercedes,40,1:27.579,219.422
2,15,Sebastian VettelVET,RBR Renault,51,1:27.622,219.314
3,14,Mark WebberWEB,RBR Renault,42,1:27.809,218.847
4,9,Jarno TrulliTRU,Toyota,40,1:27.868,218.700
5,10,Timo GlockGLO,Toyota,56,1:27.883,218.663
6,17,Kazuki NakajimaNAK,Williams Toyota,58,1:27.988,218.402
7,5,Robert KubicaKUB,Sauber BMW,58,1:28.008,218.352
8,4,Kimi RäikkönenRAI,Ferrari,58,1:28.061,218.221
9,3,Felipe MassaMAS,Ferrari,41,1:28.176,217.936
10,6,Nick HeidfeldHEI,Sauber BMW,43,1:28.214,217.842
11,16,Nico RosbergROS,Williams Toyota,36,1:28.222,217.823
12,8,Nelson PiquetPIQ,Renault,45,1:28.340,217.532
13,7,Fernando AlonsoALO,Renault,57,1:28.389,217.411
14,23,Rubens BarrichelloBAR,Brawn Mercedes,37,1:28.526,217.075
15,1,Lewis HamiltonHAM,McLaren Mercedes,53,1:28.562,216.986
16,12,Sebastien BuemiBUE,STR Ferrari,57,1:28.624,216.835
17,11,Sebastien BourdaisBOU,STR Ferrari,53,1:29.022,215.865
18,2,Heikki KovalainenKOV,McLaren Mercedes,41,1:29.174,215.497
19,20,Adrian SutilSUT,Force India Mercedes,55,1:29.192,215.454
20,21,Giancarlo FisichellaFIS,Force India Mercedes,3,1:34.070,204.281
