Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,15,Sebastian VettelVET,RBR Renault,1:27.330,1:27.016,1:28.316,17
2,22,Jenson ButtonBUT,Brawn Mercedes,1:27.355,1:27.230,1:28.421,22
3,23,Rubens BarrichelloBAR,Brawn Mercedes,1:27.371,1:27.418,1:28.579,19
4,14,Mark WebberWEB,RBR Renault,1:27.466,1:27.416,1:28.613,20
5,9,Jarno TrulliTRU,Toyota,1:27.529,1:27.195,1:28.666,24
6,4,Kimi RäikkönenRAI,Ferrari,1:27.556,1:27.387,1:28.815,24
7,3,Felipe MassaMAS,Ferrari,1:27.508,1:27.349,1:28.858,23
8,7,Fernando AlonsoALO,Renault,1:27.988,1:27.473,1:29.075,20
9,16,Nico RosbergROS,Williams Toyota,1:27.517,1:27.418,1:29.191,27
10,5,Robert KubicaKUB,Sauber BMW,1:27.788,1:27.455,1:29.357,20
11,6,Nick HeidfeldHEI,Sauber BMW,1:27.795,1:27.521,,16
12,17,Kazuki NakajimaNAK,Williams Toyota,1:27.691,1:27.629,,20
13,10,Timo GlockGLO,Toyota,1:28.160,1:27.795,,18
14,2,Heikki KovalainenKOV,McLaren Mercedes,1:28.199,1:28.207,,18
15,20,Adrian SutilSUT,Force India Mercedes,1:28.278,1:28.391,,18
16,1,Lewis HamiltonHAM,McLaren Mercedes,1:28.318,,,9
17,8,Nelson PiquetPIQ,Renault,1:28.582,,,8
18,12,Sebastien BuemiBUE,STR Ferrari,1:28.708,,,12
19,21,Giancarlo FisichellaFIS,Force India Mercedes,1:28.717,,,11
20,11,Sebastien BourdaisBOU,STR Ferrari,1:28.918,,,9
