Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,14,Mark WebberWEB,RBR Renault,1:31.257,1:38.038,1:32.230,22
2,23,Rubens BarrichelloBAR,Brawn Mercedes,1:31.482,1:34.455,1:32.357,22
3,22,Jenson ButtonBUT,Brawn Mercedes,1:31.568,1:39.032,1:32.473,23
4,15,Sebastian VettelVET,RBR Renault,1:31.430,1:39.504,1:32.480,20
5,1,Lewis HamiltonHAM,McLaren Mercedes,1:31.473,1:39.149,1:32.616,19
6,2,Heikki KovalainenKOV,McLaren Mercedes,1:31.881,1:40.826,1:33.859,21
7,20,Adrian SutilSUT,Force India Mercedes,1:32.015,1:36.740,1:34.316,20
8,3,Felipe MassaMAS,Ferrari,1:31.600,1:41.708,1:34.574,22
9,4,Kimi RäikkönenRAI,Ferrari,1:31.869,1:41.730,1:34.710,23
10,8,Nelson PiquetPIQ,Renault,1:32.128,1:35.737,1:34.803,24
11,6,Nick HeidfeldHEI,Sauber BMW,1:31.771,1:42.310,,14
12,7,Fernando AlonsoALO,Renault,1:31.302,1:42.318,,15
13,17,Kazuki NakajimaNAK,Williams Toyota,1:31.884,1:42.500,,17
14,9,Jarno TrulliTRU,Toyota,1:31.760,1:42.771,,17
15,16,Nico RosbergROS,Williams Toyota,1:31.598,1:42.859,,14
16,5,Robert KubicaKUB,Sauber BMW,1:32.190,,,10
17,12,Sebastien BuemiBUE,STR Ferrari,1:32.251,,,11
18,21,Giancarlo FisichellaFIS,Force India Mercedes,1:32.402,,,11
19,10,Timo GlockGLO,Toyota,1:32.423,,,11
20,11,Sebastien BourdaisBOU,STR Ferrari,1:33.559,,,11
