Pos,No,Driver,Car,Laps,Time/retired,Pts
1,22,Jenson ButtonBUT,Brawn Mercedes,58,1:26:24.848,10
2,14,Mark WebberWEB,RBR Renault,58,+6.714s,8
3,15,Sebastian VettelVET,RBR Renault,58,+7.461s,6
4,9,Jarno TrulliTRU,Toyota,58,+27.843s,5
5,16,Nico RosbergROS,Williams Toyota,58,+31.539s,4
6,3,Felipe MassaMAS,Ferrari,58,+39.996s,3
7,5,Robert KubicaKUB,Sauber BMW,58,+46.247s,2
8,10,Timo GlockGLO,Toyota,58,+46.959s,1
9,4,Kimi RäikkönenRAI,Ferrari,58,+50.246s,0
10,7,Fernando AlonsoALO,Renault,58,+62.420s,0
11,6,Nick HeidfeldHEI,Sauber BMW,58,+64.327s,0
12,17,Kazuki NakajimaNAK,Williams Toyota,58,+66.376s,0
13,1,Lewis HamiltonHAM,McLaren Mercedes,58,+80.454s,0
14,2,Heikki KovalainenKOV,McLaren Mercedes,57,+1 lap,0
15,12,Sebastien BuemiBUE,STR Ferrari,57,+1 lap,0
16,8,Nelson PiquetPIQ,Renault,57,+1 lap,0
17,20,Adrian SutilSUT,Force India Mercedes,57,+1 lap,0
18,11,Sebastien BourdaisBOU,STR Ferrari,57,+1 lap,0
NC,23,Rubens BarrichelloBAR,Brawn Mercedes,47,DNF,0
NC,21,Giancarlo FisichellaFIS,Force India Mercedes,4,DNF,0
