Pos,No,Driver,Car,Time
1,23,Rubens BarrichelloBAR,Brawn Mercedes,1:19.576
2,14,Mark WebberWEB,RBR Renault,1:19.668
3,20,Adrian SutilSUT,Force India Mercedes,1:19.912
4,9,Jarno TrulliTRU,Toyota,1:20.097
5,4,Kimi RäikkönenRAI,Ferrari,1:20.168
6,12,Sebastien BuemiBUE,STR Ferrari,1:20.250
7,16,Nico RosbergROS,Williams Toyota,1:20.326
8,5,Robert KubicaKUB,Sauber BMW,1:20.631
9,17,Kazuki NakajimaNAK,Williams Toyota,1:20.674
10,7,Fernando AlonsoALO,Renault,1:21.422
11,10,Kamui KobayashiKOB,Toyota,1:21.960
12,11,Jaime AlguersuariALG,STR Ferrari,1:22.231
13,8,Romain GrosjeanGRO,Renault,1:22.477
14,22,Jenson ButtonBUT,Brawn Mercedes,1:22.504
15,15,Sebastian VettelVET,RBR Renault,1:25.009
16,2,Heikki KovalainenKOV,McLaren Mercedes,1:25.052
17,1,Lewis HamiltonHAM,McLaren Mercedes,1:25.192
18,6,Nick HeidfeldHEI,Sauber BMW,1:25.515
19,3,Giancarlo FisichellaFIS,Ferrari,1:40.703
20,21,Vitantonio LiuzziLIU,Force India Mercedes,
