Pos,No,Driver,Car,Time,Gap,Laps
1,4,Nico RosbergROS,Mercedes,1:55.409,,23
2,2,Lewis HamiltonHAM,McLaren Mercedes,1:55.854,+0.445s,22
3,3,Michael SchumacherMSC,Mercedes,1:55.903,+0.494s,23
4,1,Jenson ButtonBUT,McLaren Mercedes,1:56.076,+0.667s,28
5,5,Sebastian VettelVET,RBR Renault,1:56.459,+1.050s,18
6,10,Nico HulkenbergHUL,Williams Cosworth,1:56.501,+1.092s,26
7,7,Felipe MassaMAS,Ferrari,1:56.555,+1.146s,30
8,12,Vitaly PetrovPET,Renault,1:56.750,+1.341s,26
9,8,Fernando AlonsoALO,Ferrari,1:57.140,+1.731s,25
10,22,Pedro de la RosaDLR,Sauber Ferrari,1:57.255,+1.846s,24
11,23,Kamui KobayashiKOB,Sauber Ferrari,1:57.352,+1.943s,27
12,14,Adrian SutilSUT,Force India Mercedes,1:57.361,+1.952s,29
13,9,Rubens BarrichelloBAR,Williams Cosworth,1:57.452,+2.043s,21
14,15,Vitantonio LiuzziLIU,Force India Mercedes,1:57.833,+2.424s,29
15,11,Robert KubicaKUB,Renault,1:58.155,+2.746s,29
16,17,Jaime AlguersuariALG,STR Ferrari,1:59.799,+4.390s,31
17,6,Mark WebberWEB,RBR Renault,2:00.444,+5.035s,12
18,19,Heikki KovalainenKOV,Lotus Cosworth,2:00.873,+5.464s,23
19,18,Jarno TrulliTRU,Lotus Cosworth,2:00.990,+5.581s,14
20,24,Timo GlockGLO,Virgin Cosworth,2:02.037,+6.628s,3
21,25,Lucas di GrassiDIG,Virgin Cosworth,2:02.188,+6.779s,21
22,21,Bruno SennaSEN,HRT Cosworth,2:06.968,+11.559s,17
23,16,Sebastien BuemiBUE,STR Ferrari,,,1
