Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,RBR Renault,1:38.324,1:38.015,1:37.587,18
2,6,Mark WebberWEB,RBR Renault,1:38.549,1:38.041,1:37.662,21
3,2,Lewis HamiltonHAM,McLaren Mercedes,1:38.697,1:38.158,1:37.969,17
4,8,Fernando AlonsoALO,Ferrari,1:38.472,1:38.179,1:38.075,23
5,7,Felipe MassaMAS,Ferrari,1:38.657,1:38.046,1:38.127,22
6,11,Robert KubicaKUB,Renault,1:38.132,1:38.062,1:38.137,18
7,1,Jenson ButtonBUT,McLaren Mercedes,1:38.360,1:38.399,1:38.210,22
8,10,Nico HulkenbergHUL,Williams Cosworth,1:38.843,1:38.523,1:38.428,23
9,9,Rubens BarrichelloBAR,Williams Cosworth,1:38.449,1:38.326,1:38.428,23
10,12,Vitaly PetrovPET,Renault,1:39.004,1:38.552,1:38.523,21
11,16,Sebastien BuemiBUE,STR Ferrari,1:39.096,1:38.586,,15
12,4,Nico RosbergROS,Mercedes,1:38.752,1:38.627,,12
13,14,Adrian SutilSUT,Force India Mercedes,1:39.021,1:38.851,,14
14,15,Vitantonio LiuzziLIU,Force India Mercedes,1:38.969,1:38.884,,15
15,3,Michael SchumacherMSC,Mercedes,1:38.994,1:39.234,,19
16,22,Pedro de la RosaDLR,Sauber Ferrari,1:39.003,1:39.264,,16
17,17,Jaime AlguersuariALG,STR Ferrari,1:39.128,1:39.458,,16
18,23,Kamui KobayashiKOB,Sauber Ferrari,1:39.343,,,9
19,18,Jarno TrulliTRU,Lotus Cosworth,1:40.658,,,11
20,19,Heikki KovalainenKOV,Lotus Cosworth,1:40.882,,,11
21,25,Lucas di GrassiDIG,Virgin Cosworth,1:42.086,,,11
22,24,Timo GlockGLO,Virgin Cosworth,1:42.140,,,9
23,20,Karun ChandhokCHD,HRT Cosworth,1:42.600,,,9
24,21,Bruno SennaSEN,HRT Cosworth,1:42.851,,,10
