Pos,No,Driver,Car,Time
1,5,Sebastian VettelVET,RBR Renault,1:54.101
2,7,Felipe MassaMAS,Ferrari,1:54.242
3,8,Fernando AlonsoALO,Ferrari,1:54.608
4,2,Lewis HamiltonHAM,McLaren Mercedes,1:55.217
5,4,Nico RosbergROS,Mercedes,1:55.241
6,6,Mark WebberWEB,RBR Renault,1:55.284
7,3,Michael SchumacherMSC,Mercedes,1:55.524
8,1,Jenson ButtonBUT,McLaren Mercedes,1:55.672
9,11,Robert KubicaKUB,Renault,1:55.885
10,14,Adrian SutilSUT,Force India Mercedes,1:56.309
11,9,Rubens BarrichelloBAR,Williams Cosworth,1:55.330
12,15,Vitantonio LiuzziLIU,Force India Mercedes,1:55.653
13,10,Nico HulkenbergHUL,Williams Cosworth,1:55.857
14,22,Pedro de la RosaDLR,Sauber Ferrari,1:56.237
15,16,Sebastien BuemiBUE,STR Ferrari,1:56.265
16,23,Kamui KobayashiKOB,Sauber Ferrari,1:56.270
17,12,Vitaly PetrovPET,Renault,1:56.619
18,17,Jaime AlguersuariALG,STR Ferrari,1:57.071
19,24,Timo GlockGLO,Virgin Cosworth,1:59.728
20,18,Jarno TrulliTRU,Lotus Cosworth,1:59.852
21,19,Heikki KovalainenKOV,Lotus Cosworth,2:00.313
22,25,Lucas di GrassiDIG,Virgin Cosworth,2:00.587
