Pos,No,Driver,Car,Lap,Time,Avg speed
1,4,Jenson ButtonBUT,McLaren Mercedes,54,1:48.454,168.392
2,1,Sebastian VettelVET,Red Bull Racing Renault,51,1:48.688,168.029
3,2,Mark WebberWEB,Red Bull Racing Renault,54,1:50.088,165.892
4,3,Lewis HamiltonHAM,McLaren Mercedes,54,1:50.832,164.779
5,5,Fernando AlonsoALO,Ferrari,58,1:50.891,164.691
6,16,Kamui KobayashiKOB,Sauber Ferrari,56,1:51.329,164.043
7,18,Sebastien BuemiBUE,STR Ferrari,51,1:52.197,162.774
8,6,Felipe MassaMAS,Ferrari,26,1:52.550,162.263
9,7,Michael SchumacherMSC,Mercedes,26,1:53.096,161.480
10,12,Pastor MaldonadoMAL,Williams Cosworth,50,1:53.198,161.335
11,19,Jaime AlguersuariALG,STR Ferrari,37,1:53.676,160.656
12,9,Bruno SennaSEN,Renault,55,1:53.774,160.518
13,20,Heikki KovalainenKOV,Lotus Renault,56,1:54.063,160.111
14,10,Vitaly PetrovPET,Renault,56,1:54.204,159.913
15,15,Paul di RestaDIR,Force India Mercedes,41,1:54.239,159.864
16,8,Nico RosbergROS,Mercedes,42,1:54.383,159.663
17,14,Adrian SutilSUT,Force India Mercedes,45,1:54.564,159.411
18,17,Sergio PerezPER,Sauber Ferrari,42,1:54.615,159.340
19,11,Rubens BarrichelloBAR,Williams Cosworth,40,1:55.235,158.483
20,21,Jarno TrulliTRU,Lotus Renault,25,1:57.126,155.924
21,23,Vitantonio LiuzziLIU,HRT Cosworth,41,1:58.283,154.399
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,22,1:58.730,153.817
23,22,Daniel RicciardoRIC,HRT Cosworth,40,1:59.064,153.386
24,24,Timo GlockGLO,Virgin Cosworth,6,2:00.412,151.669
