Pos,No,Driver,Car,Time,Gap,Laps
1,7,Michael SchumacherMSC,Mercedes,2:02.784,,10
2,1,Sebastian VettelVET,Red Bull Racing Renault,2:02.840,+0.056s,8
3,15,Paul di RestaDIR,Force India Mercedes,2:02.912,+0.128s,12
4,14,Adrian SutilSUT,Force India Mercedes,2:03.141,+0.357s,12
5,18,Sebastien BuemiBUE,STR Ferrari,2:03.182,+0.398s,9
6,16,Kamui KobayashiKOB,Sauber Ferrari,2:03.292,+0.508s,13
7,3,Lewis HamiltonHAM,McLaren Mercedes,2:03.391,+0.607s,6
8,8,Nico RosbergROS,Mercedes,2:04.311,+1.527s,12
9,17,Sergio PerezPER,Sauber Ferrari,2:04.797,+2.013s,8
10,2,Mark WebberWEB,Red Bull Racing Renault,2:05.183,+2.399s,5
11,21,Karun ChandhokCHD,Lotus Renault,2:06.350,+3.566s,11
12,12,Pastor MaldonadoMAL,Williams Cosworth,2:06.852,+4.068s,11
13,19,Jean-Eric VergneVER,STR Ferrari,2:07.541,+4.757s,9
14,11,Rubens BarrichelloBAR,Williams Cosworth,2:08.218,+5.434s,5
15,23,Narain KarthikeyanKAR,HRT Cosworth,2:08.832,+6.048s,14
16,22,Daniel RicciardoRIC,HRT Cosworth,2:09.232,+6.448s,14
17,25,Jerome d'AmbrosioDAM,Virgin Cosworth,2:12.658,+9.874s,7
18,24,Timo GlockGLO,Virgin Cosworth,2:14.508,+11.724s,4
19,6,Felipe MassaMAS,Ferrari,,,1
20,5,Fernando AlonsoALO,Ferrari,,,5
21,9,Bruno SennaSEN,Renault,,,1
22,10,Vitaly PetrovPET,Renault,,,1
23,20,Heikki KovalainenKOV,Lotus Renault,,,1
24,4,Jenson ButtonBUT,McLaren Mercedes,,,1
