Pos,No,Driver,Car,Time,Gap,Laps
1,3,Lewis HamiltonHAM,McLaren Mercedes,1:26.836,,22
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:27.416,+0.580s,23
3,2,Mark WebberWEB,Red Bull Racing Renault,1:27.428,+0.592s,27
4,4,Jenson ButtonBUT,McLaren Mercedes,1:28.394,+1.558s,23
5,7,Michael SchumacherMSC,Mercedes,1:28.531,+1.695s,23
6,8,Nico RosbergROS,Mercedes,1:28.542,+1.706s,29
7,6,Felipe MassaMAS,Ferrari,1:28.644,+1.808s,22
8,14,Adrian SutilSUT,Force India Mercedes,1:28.705,+1.869s,23
9,18,Sebastien BuemiBUE,STR Ferrari,1:29.219,+2.383s,24
10,16,Kamui KobayashiKOB,Sauber Ferrari,1:29.355,+2.519s,29
11,15,Paul di RestaDIR,Force India Mercedes,1:29.700,+2.864s,24
12,10,Vitaly PetrovPET,Renault,1:29.705,+2.869s,22
13,9,Bruno SennaSEN,Renault,1:29.799,+2.963s,20
14,17,Sergio PerezPER,Sauber Ferrari,1:30.132,+3.296s,25
15,11,Rubens BarrichelloBAR,Williams Cosworth,1:30.367,+3.531s,21
16,19,Jaime AlguersuariALG,STR Ferrari,1:30.566,+3.730s,19
17,12,Pastor MaldonadoMAL,Williams Cosworth,1:30.669,+3.833s,22
18,21,Jarno TrulliTRU,Lotus Renault,1:30.818,+3.982s,22
19,20,Karun ChandhokCHD,Lotus Renault,1:32.487,+5.651s,24
20,24,Timo GlockGLO,Virgin Cosworth,1:32.771,+5.935s,24
21,23,Daniel RicciardoRIC,HRT Cosworth,1:33.928,+7.092s,27
22,22,Narain KarthikeyanKAR,HRT Cosworth,1:34.113,+7.277s,30
23,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:35.796,+8.960s,19
24,5,Fernando AlonsoALO,Ferrari,1:35.899,+9.063s,4
