Pos,No,Driver,Car,Time,Gap,Laps
1,4,Jenson ButtonBUT,McLaren Mercedes,1:40.263,,21
2,2,Mark WebberWEB,Red Bull Racing Renault,1:40.389,+0.126s,26
3,3,Lewis HamiltonHAM,McLaren Mercedes,1:40.403,+0.140s,27
4,1,Sebastian VettelVET,Red Bull Racing Renault,1:40.755,+0.492s,27
5,5,Fernando AlonsoALO,Ferrari,1:40.801,+0.538s,25
6,6,Felipe MassaMAS,Ferrari,1:41.260,+0.997s,17
7,14,Adrian SutilSUT,Force India Mercedes,1:41.340,+1.077s,23
8,8,Nico RosbergROS,Mercedes,1:42.130,+1.867s,26
9,15,Paul di RestaDIR,Force India Mercedes,1:42.151,+1.888s,28
10,19,Jaime AlguersuariALG,STR Ferrari,1:42.377,+2.114s,26
11,18,Jean-Eric VergneVER,STR Ferrari,1:42.633,+2.370s,26
12,9,Romain GrosjeanGRO,Renault,1:42.685,+2.422s,29
13,10,Vitaly PetrovPET,Renault,1:43.118,+2.855s,13
14,12,Pastor MaldonadoMAL,Williams Cosworth,1:43.255,+2.992s,29
15,7,Michael SchumacherMSC,Mercedes,1:43.389,+3.126s,24
16,17,Sergio PerezPER,Sauber Ferrari,1:44.412,+4.149s,28
17,16,Kamui KobayashiKOB,Sauber Ferrari,1:44.484,+4.221s,18
18,20,Heikki KovalainenKOV,Lotus Renault,1:44.565,+4.302s,27
19,21,Jarno TrulliTRU,Lotus Renault,1:44.898,+4.635s,25
20,23,Vitantonio LiuzziLIU,HRT Cosworth,1:46.385,+6.122s,28
21,22,Daniel RicciardoRIC,HRT Cosworth,1:46.532,+6.269s,27
22,24,Timo GlockGLO,Virgin Cosworth,1:48.024,+7.761s,20
23,25,Robert WickensWIC,Virgin Cosworth,1:48.551,+8.288s,23
24,11,Rubens BarrichelloBAR,Williams Cosworth,,,3
