Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,56,1:37:39.832,25
2,4,Jenson ButtonBUT,McLaren Mercedes,56,+3.261s,18
3,9,Nick HeidfeldHEI,Renault,56,+25.075s,15
4,2,Mark WebberWEB,Red Bull Racing Renault,56,+26.384s,12
5,6,Felipe MassaMAS,Ferrari,56,+36.958s,10
6,5,Fernando AlonsoALO,Ferrari,56,+37.248s,8
7,16,Kamui KobayashiKOB,Sauber Ferrari,56,+66.439s,6
8,3,Lewis HamiltonHAM,McLaren Mercedes,56,+69.957s,4
9,7,Michael SchumacherMSC,Mercedes,56,+84.896s,2
10,15,Paul di RestaDIR,Force India Mercedes,56,+91.563s,1
11,14,Adrian SutilSUT,Force India Mercedes,56,+101.379s,0
12,8,Nico RosbergROS,Mercedes,55,+1 lap,0
13,18,Sebastien BuemiBUE,STR Ferrari,55,+1 lap,0
14,19,Jaime AlguersuariALG,STR Ferrari,55,+1 lap,0
15,20,Heikki KovalainenKOV,Lotus Renault,55,+1 lap,0
16,24,Timo GlockGLO,Virgin Cosworth,54,+2 laps,0
17,10,Vitaly PetrovPET,Renault,52,DNF,0
NC,23,Vitantonio LiuzziLIU,HRT Cosworth,46,DNF,0
NC,25,Jerome d'AmbrosioDAM,Virgin Cosworth,42,DNF,0
NC,21,Jarno TrulliTRU,Lotus Renault,31,DNF,0
NC,17,Sergio PerezPER,Sauber Ferrari,23,DNF,0
NC,11,Rubens BarrichelloBAR,Williams Cosworth,22,DNF,0
NC,22,Narain KarthikeyanKAR,HRT Cosworth,14,DNF,0
NC,12,Pastor MaldonadoMAL,Williams Cosworth,8,DNF,0
