Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:38.481
2,3,Lewis HamiltonHAM,McLaren Mercedes,1:38.622
3,4,Jenson ButtonBUT,McLaren Mercedes,1:38.631
4,2,Mark WebberWEB,Red Bull Racing Renault,1:38.858
5,5,Fernando AlonsoALO,Ferrari,1:39.058
6,6,Felipe MassaMAS,Ferrari,1:39.695
7,8,Nico RosbergROS,Mercedes,1:39.773
8,7,Michael SchumacherMSC,Mercedes,1:40.662
9,14,Adrian SutilSUT,Force India Mercedes,1:40.768
10,15,Paul di RestaDIR,Force India Mercedes,
11,17,Sergio PerezPER,Sauber Ferrari,1:40.874
12,10,Vitaly PetrovPET,Renault,1:40.919
13,18,Sebastien BuemiBUE,STR Ferrari,1:41.009
14,9,Bruno SennaSEN,Renault,1:41.079
15,19,Jaime AlguersuariALG,STR Ferrari,1:41.162
16,16,Kamui KobayashiKOB,Sauber Ferrari,1:41.240
17,20,Heikki KovalainenKOV,Lotus Renault,1:42.979
18,21,Jarno TrulliTRU,Lotus Renault,1:43.884
19,24,Timo GlockGLO,Virgin Cosworth,1:44.515
20,22,Daniel RicciardoRIC,HRT Cosworth,1:44.641
21,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:44.699
22,23,Vitantonio LiuzziLIU,HRT Cosworth,1:45.159
23,12,Pastor MaldonadoMAL,Williams Cosworth,1:41.760
24,11,Rubens BarrichelloBAR,Williams Cosworth,
