Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:33.706
2,4,Jenson ButtonBUT,McLaren Mercedes,1:34.421
3,3,Lewis HamiltonHAM,McLaren Mercedes,1:34.463
4,8,Nico RosbergROS,Mercedes,1:34.670
5,5,Fernando AlonsoALO,Ferrari,1:35.119
6,6,Felipe MassaMAS,Ferrari,1:35.145
7,19,Jaime AlguersuariALG,STR Ferrari,1:36.158
8,15,Paul di RestaDIR,Force India Mercedes,1:36.190
9,18,Sebastien BuemiBUE,STR Ferrari,1:36.203
10,10,Vitaly PetrovPET,Renault,
11,14,Adrian SutilSUT,Force India Mercedes,1:35.874
12,17,Sergio PerezPER,Sauber Ferrari,1:36.053
13,16,Kamui KobayashiKOB,Sauber Ferrari,1:36.236
14,7,Michael SchumacherMSC,Mercedes,1:36.457
15,11,Rubens BarrichelloBAR,Williams Cosworth,1:36.465
16,9,Nick HeidfeldHEI,Renault,1:36.611
17,12,Pastor MaldonadoMAL,Williams Cosworth,1:36.956
18,2,Mark WebberWEB,Red Bull Racing Renault,1:36.468
19,20,Heikki KovalainenKOV,Lotus Renault,1:37.894
20,21,Jarno TrulliTRU,Lotus Renault,1:38.318
21,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:39.119
22,24,Timo GlockGLO,Virgin Cosworth,1:39.708
23,23,Vitantonio LiuzziLIU,HRT Cosworth,1:40.212
24,22,Narain KarthikeyanKAR,HRT Cosworth,1:40.445
