Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Sebastian VettelVET,Red Bull Racing Renault,54,1:43.964,192.320
2,5,Fernando AlonsoALO,Ferrari,53,1:44.090,192.087
3,9,Kimi RäikkönenRAI,Lotus Renault,50,1:44.458,191.410
4,3,Jenson ButtonBUT,McLaren Mercedes,50,1:44.533,191.273
5,18,Pastor MaldonadoMAL,Williams Renault,55,1:44.833,190.726
6,7,Michael SchumacherMSC,Mercedes,51,1:45.225,190.015
7,15,Sergio PerezPER,Sauber Ferrari,54,1:45.410,189.682
8,14,Kamui KobayashiKOB,Sauber Ferrari,55,1:45.423,189.658
9,11,Paul di RestaDIR,Force India Mercedes,53,1:45.617,189.310
10,19,Bruno SennaSEN,Williams Renault,49,1:45.693,189.174
11,6,Felipe MassaMAS,Ferrari,53,1:45.700,189.161
12,16,Daniel RicciardoRIC,STR Ferrari,53,1:45.903,188.799
13,17,Jean-Eric VergneVER,STR Ferrari,53,1:46.113,188.425
14,2,Mark WebberWEB,Red Bull Racing Renault,32,1:46.959,186.935
15,20,Heikki KovalainenKOV,Caterham Renault,51,1:47.115,186.662
16,4,Lewis HamiltonHAM,McLaren Mercedes,19,1:47.266,186.400
17,10,Romain GrosjeanGRO,Lotus Renault,36,1:47.521,185.958
18,24,Timo GlockGLO,Marussia Cosworth,54,1:47.661,185.716
19,21,Vitaly PetrovPET,Caterham Renault,50,1:48.308,184.606
20,22,Pedro de la RosaDLR,HRT Cosworth,47,1:48.619,184.078
21,25,Charles PicPIC,Marussia Cosworth,33,1:49.079,183.302
22,8,Nico RosbergROS,Mercedes,4,1:49.340,182.864
23,23,Narain KarthikeyanKAR,HRT Cosworth,6,1:52.238,178.142
