Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lewis HamiltonHAM,McLaren Mercedes,1:26.800,1:25.626,1:24.922,14
2,3,Jenson ButtonBUT,McLaren Mercedes,1:26.832,1:25.663,1:25.074,15
3,10,Romain GrosjeanGRO,Lotus Renault,1:26.498,1:25.845,1:25.302,21
4,7,Michael SchumacherMSC,Mercedes,1:26.586,1:25.571,1:25.336,18
5,2,Mark WebberWEB,Red Bull Racing Renault,1:27.117,1:26.297,1:25.651,17
6,1,Sebastian VettelVET,Red Bull Racing Renault,1:26.773,1:25.982,1:25.668,18
7,8,Nico RosbergROS,Mercedes,1:26.763,1:25.469,1:25.686,16
8,18,Pastor MaldonadoMAL,Williams Renault,1:26.803,1:26.206,1:25.908,20
9,12,Nico HulkenbergHUL,Force India Mercedes,1:27.464,1:26.314,1:26.451,18
10,16,Daniel RicciardoRIC,STR Ferrari,1:27.024,1:26.319,DNS,16
11,17,Jean-Eric VergneVER,STR Ferrari,1:26.493,1:26.429,,12
12,5,Fernando AlonsoALO,Ferrari,1:26.688,1:26.494,,12
13,14,Kamui KobayashiKOB,Sauber Ferrari,1:26.182,1:26.590,,12
14,19,Bruno SennaSEN,Williams Renault,1:27.004,1:26.663,,16
15,11,Paul di RestaDIR,Force India Mercedes,1:27.469,1:27.086,,16
16,6,Felipe MassaMAS,Ferrari,1:27.633,1:27.497,,16
17,15,Sergio PerezPER,Sauber Ferrari,1:26.596,DNF,,11
18,9,Kimi RäikkönenRAI,Lotus Renault,1:27.758,,,9
19,20,Heikki KovalainenKOV,Caterham Renault,1:28.679,,,7
20,21,Vitaly PetrovPET,Caterham Renault,1:29.018,,,8
21,24,Timo GlockGLO,Marussia Cosworth,1:30.923,,,10
22,25,Charles PicPIC,Marussia Cosworth,1:31.670,,,9
NC,22,Pedro de la RosaDLR,HRT Cosworth,1:33.495,,,6
NC,23,Narain KarthikeyanKAR,HRT Cosworth,1:33.643,,,6
