Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,60,1:31:10.744,25
2,5,Fernando AlonsoALO,Ferrari,60,+9.437s,18
3,2,Mark WebberWEB,Red Bull Racing Renault,60,+13.217s,15
4,4,Lewis HamiltonHAM,McLaren Mercedes,60,+13.909s,12
5,3,Jenson ButtonBUT,McLaren Mercedes,60,+26.266s,10
6,6,Felipe MassaMAS,Ferrari,60,+44.674s,8
7,9,Kimi RäikkönenRAI,Lotus Renault,60,+45.227s,6
8,12,Nico HulkenbergHUL,Force India Mercedes,60,+54.998s,4
9,10,Romain GrosjeanGRO,Lotus Renault,60,+56.103s,2
10,19,Bruno SennaSEN,Williams Renault,60,+74.975s,1
11,8,Nico RosbergROS,Mercedes,60,+81.694s,0
12,11,Paul di RestaDIR,Force India Mercedes,60,+82.815s,0
13,16,Daniel RicciardoRIC,STR Ferrari,60,+86.064s,0
14,14,Kamui KobayashiKOB,Sauber Ferrari,60,+86.495s,0
15,17,Jean-Eric VergneVER,STR Ferrari,59,+1 lap,0
16,18,Pastor MaldonadoMAL,Williams Renault,59,+1 lap,0
17,21,Vitaly PetrovPET,Caterham Renault,59,+1 lap,0
18,20,Heikki KovalainenKOV,Caterham Renault,59,+1 lap,0
19,25,Charles PicPIC,Marussia Cosworth,59,+1 lap,0
20,24,Timo GlockGLO,Marussia Cosworth,58,+2 laps,0
21,23,Narain KarthikeyanKAR,HRT Cosworth,58,+2 laps,0
22,7,Michael SchumacherMSC,Mercedes,55,DNF,0
NC,22,Pedro de la RosaDLR,HRT Cosworth,42,DNF,0
NC,15,Sergio PerezPER,Sauber Ferrari,20,DNF,0
