Pos,No,Driver,Car,Time
1,2,Mark WebberWEB,Red Bull Racing Renault,1:37.242
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:37.316
3,4,Lewis HamiltonHAM,McLaren Mercedes,1:37.469
4,5,Fernando AlonsoALO,Ferrari,1:37.534
5,9,Kimi RäikkönenRAI,Lotus Renault,1:37.625
6,6,Felipe MassaMAS,Ferrari,1:37.884
7,10,Romain GrosjeanGRO,Lotus Renault,1:37.934
8,12,Nico HulkenbergHUL,Force India Mercedes,1:38.266
9,8,Nico RosbergROS,Mercedes,1:38.361
10,7,Michael SchumacherMSC,Mercedes,1:38.513
11,3,Jenson ButtonBUT,McLaren Mercedes,1:38.441
12,15,Sergio PerezPER,Sauber Ferrari,1:38.460
13,14,Kamui KobayashiKOB,Sauber Ferrari,1:38.594
14,11,Paul di RestaDIR,Force India Mercedes,1:38.643
15,18,Pastor MaldonadoMAL,Williams Renault,1:38.725
16,17,Jean-Eric VergneVER,STR Ferrari,1:39.340
17,19,Bruno SennaSEN,Williams Renault,1:39.443
18,21,Vitaly PetrovPET,Caterham Renault,1:40.207
19,20,Heikki KovalainenKOV,Caterham Renault,1:40.333
20,24,Timo GlockGLO,Marussia Cosworth,1:41.371
21,16,Daniel RicciardoRIC,STR Ferrari,1:39.084
22,22,Pedro de la RosaDLR,HRT Cosworth,1:42.881
23,23,Narain KarthikeyanKAR,HRT Cosworth,
24,25,Charles PicPIC,Marussia Cosworth,1:41.317
