Pos,No,Driver,Car,Time
1,18,Pastor MaldonadoMAL,Williams Renault,1:22.285
2,5,Fernando AlonsoALO,Ferrari,1:22.302
3,10,Romain GrosjeanGRO,Lotus Renault,1:22.424
4,9,Kimi RäikkönenRAI,Lotus Renault,1:22.487
5,15,Sergio PerezPER,Sauber Ferrari,1:22.533
6,8,Nico RosbergROS,Mercedes,1:23.005
7,1,Sebastian VettelVET,Red Bull Racing Renault,
8,7,Michael SchumacherMSC,Mercedes,
9,14,Kamui KobayashiKOB,Sauber Ferrari,
10,3,Jenson ButtonBUT,McLaren Mercedes,1:22.944
11,2,Mark WebberWEB,Red Bull Racing Renault,1:22.977
12,11,Paul di RestaDIR,Force India Mercedes,1:23.125
13,12,Nico HulkenbergHUL,Force India Mercedes,1:23.177
14,17,Jean-Eric VergneVER,STR Ferrari,1:23.265
15,16,Daniel RicciardoRIC,STR Ferrari,1:23.442
16,6,Felipe MassaMAS,Ferrari,1:23.444
17,19,Bruno SennaSEN,Williams Renault,1:24.981
18,21,Vitaly PetrovPET,Caterham Renault,1:25.277
19,20,Heikki KovalainenKOV,Caterham Renault,1:25.507
20,25,Charles PicPIC,Marussia Cosworth,1:26.582
21,24,Timo GlockGLO,Marussia Cosworth,1:27.032
22,22,Pedro de la RosaDLR,HRT Cosworth,1:27.555
23,23,Narain KarthikeyanKAR,HRT Cosworth,
24,4,Lewis HamiltonHAM,McLaren Mercedes,
