Pos,No,Driver,Car,Time,Gap,Laps
1,10,Lewis HamiltonHAM,Mercedes,1:47.055,,20
2,2,Mark WebberWEB,Red Bull Racing Renault,1:47.420,+0.365s,20
3,1,Sebastian VettelVET,Red Bull Racing Renault,1:47.885,+0.830s,19
4,9,Nico RosbergROS,Mercedes,1:48.239,+1.184s,23
5,7,Kimi RäikkönenRAI,Lotus Renault,1:48.354,+1.299s,18
6,8,Romain GrosjeanGRO,Lotus Renault,1:48.355,+1.300s,12
7,3,Fernando AlonsoALO,Ferrari,1:48.362,+1.307s,21
8,6,Sergio PerezPER,McLaren Mercedes,1:49.267,+2.212s,20
9,18,Jean-Eric VergneVER,STR Ferrari,1:49.348,+2.293s,23
10,12,Esteban Gutierrez GUT,Sauber Ferrari,1:49.355,+2.300s,21
11,16,Pastor MaldonadoMAL,Williams Renault,1:49.481,+2.426s,20
12,4,Felipe MassaMAS,Ferrari,1:49.493,+2.438s,16
13,17,Valtteri BottasBOT,Williams Renault,1:49.510,+2.455s,21
14,5,Jenson ButtonBUT,McLaren Mercedes,1:49.608,+2.553s,20
15,14,Paul di RestaDIR,Force India Mercedes,1:49.887,+2.832s,18
16,15,Adrian SutilSUT,Force India Mercedes,1:50.092,+3.037s,20
17,11,Nico HulkenbergHUL,Sauber Ferrari,1:50.222,+3.167s,17
18,19,Daniel RicciardoRIC,STR Ferrari,1:50.757,+3.702s,16
19,22,Jules BianchiBIA,Marussia Cosworth,1:52.359,+5.304s,16
20,23,Max ChiltonCHI,Marussia Cosworth,1:52.673,+5.618s,15
21,21,Giedo van der GardeVDG,Caterham Renault,1:52.920,+5.865s,24
22,20,Charles PicPIC,Caterham Renault,1:53.647,+6.592s,23
