Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:25.943,1:24.568,1:24.119,12
2,9,Nico RosbergROS,Mercedes,1:25.833,1:25.304,1:24.871,21
3,10,Lewis HamiltonHAM,Mercedes,1:25.802,1:25.259,1:24.941,20
4,2,Mark WebberWEB,Red Bull Racing Renault,1:25.665,1:25.097,1:25.047,17
5,4,Felipe MassaMAS,Ferrari,1:25.793,1:25.389,1:25.201,19
6,7,Kimi RäikkönenRAI,Lotus Renault,1:25.819,1:25.191,1:25.248,18
7,11,Nico HulkenbergHUL,Sauber Ferrari,1:25.883,1:25.339,1:25.334,19
8,3,Fernando AlonsoALO,Ferrari,1:25.934,1:24.885,1:25.826,15
9,6,Sergio PerezPER,McLaren Mercedes,1:26.107,1:25.365,1:26.153,21
10,5,Jenson ButtonBUT,McLaren Mercedes,1:25.574,1:25.458,1:26.487,23
11,19,Daniel RicciardoRIC,STR Ferrari,1:25.673,1:25.519,,14
12,14,Paul di RestaDIR,Force India Mercedes,1:25.908,1:25.711,,15
13,15,Adrian SutilSUT,Force India Mercedes,1:26.164,1:25.740,,16
14,18,Jean-Eric VergneVER,STR Ferrari,1:26.155,1:25.798,,14
15,17,Valtteri BottasBOT,Williams Renault,1:26.178,1:26.134,,15
16,12,Esteban Gutierrez GUT,Sauber Ferrari,1:26.057,1:26.336,,11
17,8,Romain GrosjeanGRO,Lotus Renault,1:26.577,,,7
18,16,Pastor MaldonadoMAL,Williams Renault,1:26.842,,,9
19,22,Jules BianchiBIA,Marussia Cosworth,1:26.970,,,8
20,21,Giedo van der GardeVDG,Caterham Renault,1:27.105,,,6
21,20,Charles PicPIC,Caterham Renault,1:27.487,,,7
22,23,Max ChiltonCHI,Marussia Cosworth,1:28.138,,,8
