Pos,No,Driver,Car,Laps,Time/retired,Pts
1,10,Lewis HamiltonHAM,Mercedes,70,1:42:29.445,25
2,7,Kimi RäikkönenRAI,Lotus Renault,70,+10.938s,18
3,1,Sebastian VettelVET,Red Bull Racing Renault,70,+12.459s,15
4,2,Mark WebberWEB,Red Bull Racing Renault,70,+18.044s,12
5,3,Fernando AlonsoALO,Ferrari,70,+31.411s,10
6,8,Romain GrosjeanGRO,Lotus Renault,70,+52.295s,8
7,5,Jenson ButtonBUT,McLaren Mercedes,70,+53.819s,6
8,4,Felipe MassaMAS,Ferrari,70,+56.447s,4
9,6,Sergio PerezPER,McLaren Mercedes,69,+1 lap,2
10,16,Pastor MaldonadoMAL,Williams Renault,69,+1 lap,1
11,11,Nico HulkenbergHUL,Sauber Ferrari,69,+1 lap,0
12,18,Jean-Eric VergneVER,STR Ferrari,69,+1 lap,0
13,19,Daniel RicciardoRIC,STR Ferrari,69,+1 lap,0
14,21,Giedo van der GardeVDG,Caterham Renault,68,+2 laps,0
15,20,Charles PicPIC,Caterham Renault,68,+2 laps,0
16,22,Jules BianchiBIA,Marussia Cosworth,67,+3 laps,0
17,23,Max ChiltonCHI,Marussia Cosworth,67,+3 laps,0
18,14,Paul di RestaDIR,Force India Mercedes,66,DNF,0
19,9,Nico RosbergROS,Mercedes,64,DNF,0
NC,17,Valtteri BottasBOT,Williams Renault,42,DNF,0
NC,12,Esteban Gutierrez GUT,Sauber Ferrari,28,DNF,0
NC,15,Adrian SutilSUT,Force India Mercedes,19,DNF,0
