Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,61,1:59:13.132,25
2,3,Fernando AlonsoALO,Ferrari,61,+32.627s,18
3,7,Kimi RäikkönenRAI,Lotus Renault,61,+43.920s,15
4,9,Nico RosbergROS,Mercedes,61,+51.155s,12
5,10,Lewis HamiltonHAM,Mercedes,61,+53.159s,10
6,4,Felipe MassaMAS,Ferrari,61,+63.877s,8
7,5,Jenson ButtonBUT,McLaren Mercedes,61,+83.354s,6
8,6,Sergio PerezPER,McLaren Mercedes,61,+83.820s,4
9,11,Nico HulkenbergHUL,Sauber Ferrari,61,+84.261s,2
10,15,Adrian SutilSUT,Force India Mercedes,61,+84.668s,1
11,16,Pastor MaldonadoMAL,Williams Renault,61,+88.479s,0
12,12,Esteban Gutierrez GUT,Sauber Ferrari,61,+97.894s,0
13,17,Valtteri BottasBOT,Williams Renault,61,+105.161s,0
14,18,Jean-Eric VergneVER,STR Ferrari,61,+113.512s,0
15,2,Mark WebberWEB,Red Bull Racing Renault,60,DNF,0
16,21,Giedo van der GardeVDG,Caterham Renault,60,+1 lap,0
17,23,Max ChiltonCHI,Marussia Cosworth,60,+1 lap,0
18,22,Jules BianchiBIA,Marussia Cosworth,60,+1 lap,0
19,20,Charles PicPIC,Caterham Renault,60,+1 lap,0
20,14,Paul di RestaDIR,Force India Mercedes,54,DNF,0
NC,8,Romain GrosjeanGRO,Lotus Renault,37,DNF,0
NC,19,Daniel RicciardoRIC,STR Ferrari,23,DNF,0
