Pos,No,Driver,Car,Laps,Time/retired,Pts
1,1,Sebastian VettelVET,Red Bull Racing Renault,55,1:38:06.106,25
2,2,Mark WebberWEB,Red Bull Racing Renault,55,+30.829s,18
3,9,Nico RosbergROS,Mercedes,55,+33.650s,15
4,8,Romain GrosjeanGRO,Lotus Renault,55,+34.802s,12
5,3,Fernando AlonsoALO,Ferrari,55,+67.181s,10
6,14,Paul di RestaDIR,Force India Mercedes,55,+78.174s,8
7,10,Lewis HamiltonHAM,Mercedes,55,+79.267s,6
8,4,Felipe MassaMAS,Ferrari,55,+82.886s,4
9,6,Sergio PerezPER,McLaren Mercedes,55,+91.198s,2
10,15,Adrian SutilSUT,Force India Mercedes,55,+93.257s,1
11,16,Pastor MaldonadoMAL,Williams Renault,55,+95.989s,0
12,5,Jenson ButtonBUT,McLaren Mercedes,55,+103.767s,0
13,12,Esteban Gutierrez GUT,Sauber Ferrari,55,+104.295s,0
14,11,Nico HulkenbergHUL,Sauber Ferrari,54,+1 lap,0
15,17,Valtteri BottasBOT,Williams Renault,54,+1 lap,0
16,19,Daniel RicciardoRIC,STR Ferrari,54,+1 lap,0
17,18,Jean-Eric VergneVER,STR Ferrari,54,+1 lap,0
18,21,Giedo van der GardeVDG,Caterham Renault,54,+1 lap,0
19,20,Charles PicPIC,Caterham Renault,54,+1 lap,0
20,22,Jules BianchiBIA,Marussia Cosworth,53,+2 laps,0
21,23,Max ChiltonCHI,Marussia Cosworth,53,+2 laps,0
NC,7,Kimi RäikkönenRAI,Lotus Renault,0,DNF,0
