Pos,No,Driver,Car,Time
1,2,Mark WebberWEB,Red Bull Racing Renault,1:30.915
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:31.089
3,10,Lewis HamiltonHAM,Mercedes,1:31.253
4,8,Romain GrosjeanGRO,Lotus Renault,1:31.365
5,4,Felipe MassaMAS,Ferrari,1:31.378
6,9,Nico RosbergROS,Mercedes,1:31.397
7,11,Nico HulkenbergHUL,Sauber Ferrari,1:31.644
8,3,Fernando AlonsoALO,Ferrari,1:31.665
9,7,Kimi RäikkönenRAI,Lotus Renault,1:31.684
10,5,Jenson ButtonBUT,McLaren Mercedes,1:31.827
11,6,Sergio PerezPER,McLaren Mercedes,1:31.989
12,14,Paul di RestaDIR,Force India Mercedes,1:31.992
13,17,Valtteri BottasBOT,Williams Renault,1:32.013
14,12,Esteban Gutierrez GUT,Sauber Ferrari,1:32.063
15,16,Pastor MaldonadoMAL,Williams Renault,1:32.093
16,19,Daniel RicciardoRIC,STR Ferrari,1:32.485
17,18,Jean-Eric VergneVER,STR Ferrari,1:33.357
18,23,Max ChiltonCHI,Marussia Cosworth,1:34.320
19,21,Giedo van der GardeVDG,Caterham Renault,1:34.879
20,20,Charles PicPIC,Caterham Renault,1:34.556
21,22,Jules BianchiBIA,Marussia Cosworth,1:34.958
22,15,Adrian SutilSUT,Force India Mercedes,1:32.890
