Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:39.941,,28
2,6,Nico RosbergROS,Mercedes,1:40.233,+0.292s,32
3,22,Jenson ButtonBUT,McLaren Mercedes,1:40.319,+0.378s,27
4,26,Daniil KvyatKVY,STR Renault,1:40.887,+0.946s,33
5,20,Kevin MagnussenMAG,McLaren Mercedes,1:40.987,+1.046s,29
6,14,Fernando AlonsoALO,Ferrari,1:41.065,+1.124s,27
7,1,Sebastian VettelVET,Red Bull Racing Renault,1:41.463,+1.522s,20
8,40,Felipe NasrNAS,Williams Mercedes,1:41.545,+1.604s,19
9,27,Nico HulkenbergHUL,Force India Mercedes,1:41.722,+1.781s,24
10,38,Max VerstappenVER,STR Renault,1:41.785,+1.844s,32
11,19,Felipe MassaMAS,Williams Mercedes,1:41.907,+1.966s,21
12,7,Kimi RäikkönenRAI,Ferrari,1:41.965,+2.024s,23
13,13,Pastor MaldonadoMAL,Lotus Renault,1:42.329,+2.388s,28
14,99,Adrian SutilSUT,Sauber Ferrari,1:42.333,+2.392s,23
15,11,Sergio PerezPER,Force India Mercedes,1:42.359,+2.418s,23
16,21,Esteban Gutierrez GUT,Sauber Ferrari,1:42.516,+2.575s,24
17,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:42.598,+2.657s,5
18,8,Romain GrosjeanGRO,Lotus Renault,1:43.229,+3.288s,26
