Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:35.439,1:33.708,1:33.185,12
2,44,Lewis HamiltonHAM,Mercedes,1:35.323,1:33.872,1:33.464,12
3,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:36.220,1:34.592,1:34.051,16
4,77,Valtteri BottasBOT,Williams Mercedes,1:34.934,1:34.842,1:34.247,15
5,11,Sergio PerezPER,Force India Mercedes,1:34.998,1:34.747,1:34.346,19
6,7,Kimi RäikkönenRAI,Ferrari,1:35.234,1:34.925,1:34.368,15
7,22,Jenson ButtonBUT,McLaren Mercedes,1:35.699,1:34.714,1:34.387,17
8,19,Felipe MassaMAS,Williams Mercedes,1:35.085,1:34.842,1:34.511,14
9,20,Kevin MagnussenMAG,McLaren Mercedes,1:35.288,1:34.904,1:34.712,17
10,14,Fernando AlonsoALO,Ferrari,1:35.251,1:34.723,1:34.992,17
11,1,Sebastian VettelVET,Red Bull Racing Renault,1:35.549,1:34.985,,9
12,27,Nico HulkenbergHUL,Force India Mercedes,1:34.874,1:35.116,,12
13,26,Daniil KvyatKVY,STR Renault,1:35.395,1:35.145,,14
14,25,Jean-Eric VergneVER,STR Renault,1:35.815,1:35.286,,14
15,21,Esteban Gutierrez GUT,Sauber Ferrari,1:36.567,1:35.891,,14
16,8,Romain GrosjeanGRO,Lotus Renault,1:36.654,1:35.908,,10
17,13,Pastor MaldonadoMAL,Lotus Renault,1:36.663,,,7
18,99,Adrian SutilSUT,Sauber Ferrari,1:36.840,,,5
19,10,Kamui KobayashiKOB,Caterham Renault,1:37.085,,,6
20,17,Jules BianchiBIA,Marussia Ferrari,1:37.310,,,6
21,9,Marcus EricssonERI,Caterham Renault,1:37.875,,,7
22,4,Max ChiltonCHI,Marussia Ferrari,1:37.913,,,6
