Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,1:22.715
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:23.201
3,77,Valtteri BottasBOT,Williams Mercedes,1:23.354
4,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:23.391
5,14,Fernando AlonsoALO,Ferrari,1:23.909
6,19,Felipe MassaMAS,Williams Mercedes,1:24.223
7,22,Jenson ButtonBUT,McLaren Mercedes,1:24.294
8,25,Jean-Eric VergneVER,STR Renault,1:24.720
9,27,Nico HulkenbergHUL,Force India Mercedes,1:24.775
10,26,Daniil KvyatKVY,STR Renault,1:24.706
11,99,Adrian SutilSUT,Sauber Ferrari,1:25.136
12,11,Sergio PerezPER,Force India Mercedes,1:25.211
13,21,Esteban Gutierrez GUT,Sauber Ferrari,1:25.260
14,8,Romain GrosjeanGRO,Lotus Renault,1:25.337
15,17,Jules BianchiBIA,Marussia Ferrari,1:27.419
16,7,Kimi RäikkönenRAI,Ferrari,1:26.792
17,10,Kamui KobayashiKOB,Caterham Renault,1:27.139
18,4,Max ChiltonCHI,Marussia Ferrari,1:27.819
19,9,Marcus EricssonERI,Caterham Renault,1:28.643
20,13,Pastor MaldonadoMAL,Lotus Renault,
