Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:45.681
2,6,Nico RosbergROS,Mercedes,1:45.688
3,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:45.854
4,1,Sebastian VettelVET,Red Bull Racing Renault,1:45.902
5,14,Fernando AlonsoALO,Ferrari,1:45.907
6,19,Felipe MassaMAS,Williams Mercedes,1:46.000
7,7,Kimi RäikkönenRAI,Ferrari,1:46.170
8,77,Valtteri BottasBOT,Williams Mercedes,1:46.187
9,20,Kevin MagnussenMAG,McLaren Mercedes,1:46.250
10,26,Daniil KvyatKVY,STR Renault,1:47.362
11,22,Jenson ButtonBUT,McLaren Mercedes,1:46.943
12,25,Jean-Eric VergneVER,STR Renault,1:46.989
13,27,Nico HulkenbergHUL,Force India Mercedes,1:47.308
14,21,Esteban Gutierrez GUT,Sauber Ferrari,1:47.333
15,11,Sergio PerezPER,Force India Mercedes,1:47.575
16,8,Romain GrosjeanGRO,Lotus Renault,1:47.812
17,99,Adrian SutilSUT,Sauber Ferrari,1:48.324
18,13,Pastor MaldonadoMAL,Lotus Renault,1:49.063
19,17,Jules BianchiBIA,Marussia Ferrari,1:49.440
20,10,Kamui KobayashiKOB,Caterham Renault,1:50.405
21,4,Max ChiltonCHI,Marussia Ferrari,1:50.473
22,9,Marcus EricssonERI,Caterham Renault,1:52.287
