Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:59.431
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:59.486
3,6,Nico RosbergROS,Mercedes,2:00.050
4,14,Fernando AlonsoALO,Ferrari,2:00.175
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,2:00.541
6,7,Kimi RäikkönenRAI,Ferrari,2:01.218
7,27,Nico HulkenbergHUL,Force India Mercedes,2:01.712
8,20,Kevin MagnussenMAG,McLaren Mercedes,2:02.213
9,25,Jean-Eric VergneVER,STR Renault,2:03.078
10,22,Jenson ButtonBUT,McLaren Mercedes,2:04.053
11,26,Daniil KvyatKVY,STR Renault,2:02.351
12,21,Esteban Gutierrez GUT,Sauber Ferrari,2:02.369
13,19,Felipe MassaMAS,Williams Mercedes,2:02.460
14,11,Sergio PerezPER,Force India Mercedes,2:02.511
15,8,Romain GrosjeanGRO,Lotus Renault,2:02.885
16,13,Pastor MaldonadoMAL,Lotus Renault,2:02.074
17,99,Adrian SutilSUT,Sauber Ferrari,2:02.131
18,77,Valtteri BottasBOT,Williams Mercedes,2:02.756
19,17,Jules BianchiBIA,Marussia Ferrari,2:02.702
20,10,Kamui KobayashiKOB,Caterham Renault,2:03.595
21,4,Max ChiltonCHI,Marussia Ferrari,2:04.388
22,9,Marcus EricssonERI,Caterham Renault,2:04.407
