Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,1:14.874
2,44,Lewis HamiltonHAM,Mercedes,1:14.953
3,1,Sebastian VettelVET,Red Bull Racing Renault,1:15.548
4,77,Valtteri BottasBOT,Williams Mercedes,1:15.550
5,19,Felipe MassaMAS,Williams Mercedes,1:15.578
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:15.589
7,14,Fernando AlonsoALO,Ferrari,1:15.814
8,25,Jean-Eric VergneVER,STR Renault,1:16.162
9,22,Jenson ButtonBUT,McLaren Mercedes,1:16.182
10,7,Kimi RäikkönenRAI,Ferrari,1:16.214
11,27,Nico HulkenbergHUL,Force India Mercedes,1:16.300
12,20,Kevin MagnussenMAG,McLaren Mercedes,1:16.310
13,11,Sergio PerezPER,Force India Mercedes,1:16.472
14,8,Romain GrosjeanGRO,Lotus Renault,1:16.687
15,26,Daniil KvyatKVY,STR Renault,1:16.713
16,99,Adrian SutilSUT,Sauber Ferrari,1:17.314
17,13,Pastor MaldonadoMAL,Lotus Renault,1:18.328
18,4,Max ChiltonCHI,Marussia Ferrari,1:18.348
19,17,Jules BianchiBIA,Marussia Ferrari,1:18.359
20,9,Marcus EricssonERI,Caterham Renault,1:19.820
21,10,Kamui KobayashiKOB,Caterham Renault,1:19.278
