Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:24.544,,18
2,5,Sebastian VettelVET,Ferrari,1:24.808,+0.264s,12
3,6,Nico RosbergROS,Mercedes,1:24.843,+0.299s,19
4,77,Valtteri BottasBOT,Williams Mercedes,1:24.946,+0.402s,14
5,19,Felipe MassaMAS,Williams Mercedes,1:25.165,+0.621s,14
6,13,Pastor MaldonadoMAL,Lotus Mercedes,1:25.242,+0.698s,11
7,7,Kimi RäikkönenRAI,Ferrari,1:25.244,+0.700s,13
8,11,Sergio PerezPER,Force India Mercedes,1:25.515,+0.971s,14
9,9,Marcus EricssonERI,Sauber Ferrari,1:25.692,+1.148s,17
10,8,Romain GrosjeanGRO,Lotus Mercedes,1:25.747,+1.203s,8
11,12,Felipe NasrNAS,Sauber Ferrari,1:25.912,+1.368s,17
12,27,Nico HulkenbergHUL,Force India Mercedes,1:26.141,+1.597s,13
13,14,Fernando AlonsoALO,McLaren Honda,1:26.632,+2.088s,9
14,22,Jenson ButtonBUT,McLaren Honda,1:26.750,+2.206s,14
15,28,Will StevensSTE,Marussia Ferrari,1:28.123,+3.579s,13
16,33,Max VerstappenVER,STR Renault,1:28.215,+3.671s,25
17,26,Daniil KvyatKVY,Red Bull Racing Renault,1:28.591,+4.047s,10
18,55,Carlos SainzSAI,STR Renault,1:28.628,+4.084s,23
19,98,Roberto MerhiMER,Marussia Ferrari,1:29.117,+4.573s,11
20,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:29.900,+5.356s,7
