Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:38.285,1:36.423,1:35.782,12
2,6,Nico RosbergROS,Mercedes,1:38.496,1:36.747,1:35.824,12
3,5,Sebastian VettelVET,Ferrari,1:37.502,1:36.957,1:36.687,17
4,19,Felipe MassaMAS,Williams Mercedes,1:38.433,1:37.357,1:36.954,15
5,77,Valtteri BottasBOT,Williams Mercedes,1:38.014,1:37.763,1:37.143,15
6,7,Kimi RäikkönenRAI,Ferrari,1:37.790,1:37.109,1:37.232,17
7,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:38.534,1:37.939,1:37.540,18
8,8,Romain GrosjeanGRO,Lotus Mercedes,1:38.209,1:38.063,1:37.905,20
9,12,Felipe NasrNAS,Sauber Ferrari,1:38.521,1:38.017,1:38.067,16
10,9,Marcus EricssonERI,Sauber Ferrari,1:38.941,1:38.127,1:38.158,15
11,13,Pastor MaldonadoMAL,Lotus Mercedes,1:38.563,1:38.134,,13
12,26,Daniil KvyatKVY,Red Bull Racing Renault,1:39.051,1:38.209,,13
13,33,Max VerstappenVER,STR Renault,1:38.387,1:38.393,,14
14,55,Carlos SainzSAI,STR Renault,1:38.622,1:38.538,,14
15,11,Sergio PerezPER,Force India Mercedes,1:38.903,1:39.290,,10
16,27,Nico HulkenbergHUL,Force India Mercedes,1:39.216,,,6
17,22,Jenson ButtonBUT,McLaren Honda,1:39.276,,,6
18,14,Fernando AlonsoALO,McLaren Honda,1:39.280,,,8
19,28,Will StevensSTE,Marussia Ferrari,1:42.091,,,6
20,98,Roberto MerhiMER,Marussia Ferrari,1:42.842,,,8
