Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:26.327
2,6,Nico RosbergROS,Mercedes,1:26.921
3,19,Felipe MassaMAS,Williams Mercedes,1:27.718
4,5,Sebastian VettelVET,Ferrari,1:27.757
5,7,Kimi RäikkönenRAI,Ferrari,1:27.790
6,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:28.329
7,55,Carlos SainzSAI,STR Renault,1:28.510
8,8,Romain GrosjeanGRO,Lotus Mercedes,1:28.560
9,13,Pastor MaldonadoMAL,Lotus Mercedes,1:29.480
10,12,Felipe NasrNAS,Sauber Ferrari,1:28.800
11,33,Max VerstappenVER,STR Renault,1:28.868
12,26,Daniil KvyatKVY,Red Bull Racing Renault,1:29.070
13,27,Nico HulkenbergHUL,Force India Mercedes,1:29.208
14,11,Sergio PerezPER,Force India Mercedes,1:29.209
15,9,Marcus EricssonERI,Sauber Ferrari,1:31.376
16,22,Jenson ButtonBUT,McLaren Honda,1:31.422
17,20,Kevin MagnussenMAG,McLaren Honda,1:32.037
