Pos,No,Driver,Car,Time
1,6,Nico RosbergROS,Mercedes,1:37.113
2,44,Lewis HamiltonHAM,Mercedes,1:37.433
3,77,Valtteri BottasBOT,Williams Mercedes,1:37.912
4,5,Sebastian VettelVET,Ferrari,1:37.965
5,7,Kimi RäikkönenRAI,Ferrari,1:38.348
6,27,Nico HulkenbergHUL,Force India Mercedes,1:38.659
7,11,Sergio PerezPER,Force India Mercedes,1:38.691
8,8,Romain GrosjeanGRO,Lotus Mercedes,1:38.787
9,33,Max VerstappenVER,STR Renault,1:38.924
10,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:39.728
11,26,Daniil KvyatKVY,Red Bull Racing Renault,1:39.214
12,12,Felipe NasrNAS,Sauber Ferrari,1:39.323
13,22,Jenson ButtonBUT,McLaren Honda,1:39.763
14,13,Pastor MaldonadoMAL,Lotus Mercedes,1:39.811
15,19,Felipe MassaMAS,Williams Mercedes,1:39.895
16,9,Marcus EricssonERI,Sauber Ferrari,1:40.660
17,28,Will StevensSTE,Marussia Ferrari,1:43.693
18,98,Roberto MerhiMER,Marussia Ferrari,1:43.804
19,14,Fernando AlonsoALO,McLaren Honda,1:40.144
20,55,Carlos SainzSAI,STR Renault,
