Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:48.019,1:46.999,1:46.744,12
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:48.407,1:47.163,1:46.893,12
3,7,Kimi RäikkönenRAI,Ferrari,1:47.912,1:47.664,1:46.910,13
4,5,Sebastian VettelVET,Ferrari,1:47.802,1:47.944,1:47.108,14
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:48.407,1:48.027,1:47.216,12
6,11,Sergio PerezPER,Force India Mercedes,1:48.106,1:47.485,1:47.407,12
7,27,Nico HulkenbergHUL,Force India Mercedes,1:48.080,1:47.317,1:47.543,12
8,77,Valtteri BottasBOT,Williams Mercedes,1:48.655,1:47.918,1:47.612,12
9,22,Jenson ButtonBUT,McLaren Honda,1:48.700,1:48.051,1:48.114,15
10,19,Felipe MassaMAS,Williams Mercedes,1:47.738,1:47.667,1:48.263,12
11,8,Romain GrosjeanGRO,Haas Ferrari,1:48.751,1:48.316,,12
12,20,Kevin MagnussenMAG,Renault,1:48.800,1:48.485,,12
13,21,Esteban Gutierrez GUT,Haas Ferrari,1:48.748,1:48.598,,12
14,30,Jolyon PalmerPAL,Renault,1:48.901,1:48.888,,12
15,55,Carlos SainzSAI,Toro Rosso Ferrari,1:48.876,1:49.038,,9
16,94,Pascal WehrleinWEH,MRT Mercedes,1:48.554,1:49.320,,11
17,12,Felipe NasrNAS,Sauber Ferrari,1:48.949,,,6
18,31,Esteban OconOCO,MRT Mercedes,1:49.050,,,7
19,26,Daniil KvyatKVY,Toro Rosso Ferrari,1:49.058,,,6
20,9,Marcus EricssonERI,Sauber Ferrari,1:49.071,,,6
21,44,Lewis HamiltonHAM,Mercedes,1:50.033,,,4
NC,14,Fernando AlonsoALO,McLaren Honda,DNS,,,1
