Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Nico RosbergROS,Mercedes,57,1:33:34.696,25
2,7,Kimi RäikkönenRAI,Ferrari,57,+10.282s,18
3,44,Lewis HamiltonHAM,Mercedes,57,+30.148s,15
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,57,+62.494s,12
5,8,Romain GrosjeanGRO,Haas Ferrari,57,+78.299s,10
6,33,Max VerstappenVER,Toro Rosso Ferrari,57,+80.929s,8
7,26,Daniil KvyatKVY,Red Bull Racing TAG Heuer,56,+1 lap,6
8,19,Felipe MassaMAS,Williams Mercedes,56,+1 lap,4
9,77,Valtteri BottasBOT,Williams Mercedes,56,+1 lap,2
10,47,Stoffel VandoorneVAN,McLaren Honda,56,+1 lap,1
11,20,Kevin MagnussenMAG,Renault,56,+1 lap,0
12,9,Marcus EricssonERI,Sauber Ferrari,56,+1 lap,0
13,94,Pascal WehrleinWEH,MRT Mercedes,56,+1 lap,0
14,12,Felipe NasrNAS,Sauber Ferrari,56,+1 lap,0
15,27,Nico HulkenbergHUL,Force India Mercedes,56,+1 lap,0
16,11,Sergio PerezPER,Force India Mercedes,56,+1 lap,0
17,88,Rio HaryantoHAR,MRT Mercedes,56,+1 lap,0
NC,55,Carlos SainzSAI,Toro Rosso Ferrari,29,DNF,0
NC,21,Esteban Gutierrez GUT,Haas Ferrari,9,DNF,0
NC,22,Jenson ButtonBUT,McLaren Honda,6,DNF,0
NC,5,Sebastian VettelVET,Ferrari,0,DNS,0
NC,30,Jolyon PalmerPAL,Renault,0,DNS,0
