Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,5,Sebastian VettelVET,Ferrari,41,15:23:04,1:46.577,236.583
2,44,Lewis HamiltonHAM,Mercedes,35,15:12:21,1:46.603,236.526
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,44,15:28:34,1:47.549,234.445
4,77,Valtteri BottasBOT,Mercedes,37,15:16:02,1:47.721,234.071
5,7,Kimi RäikkönenRAI,Ferrari,36,15:14:13,1:47.730,234.051
6,11,Sergio PerezPER,Force India Mercedes,27,14:54:44,1:48.300,232.819
7,27,Nico HulkenbergHUL,Renault,39,15:19:44,1:48.922,231.490
8,8,Romain GrosjeanGRO,Haas Ferrari,37,15:16:08,1:49.087,231.140
9,20,Kevin MagnussenMAG,Haas Ferrari,36,15:14:48,1:49.126,231.057
10,30,Jolyon PalmerPAL,Renault,44,15:29:16,1:49.283,230.725
11,19,Felipe MassaMAS,Williams Mercedes,37,15:16:10,1:49.637,229.980
12,26,Daniil KvyatKVY,Toro Rosso,39,15:20:01,1:49.708,229.831
13,55,Carlos SainzSAI,Toro Rosso,39,15:19:52,1:49.709,229.829
14,31,Esteban OconOCO,Force India Mercedes,37,15:16:11,1:49.721,229.804
15,2,Stoffel VandoorneVAN,McLaren Honda,44,15:29:20,1:49.907,229.415
16,18,Lance StrollSTR,Williams Mercedes,41,15:23:40,1:50.543,228.095
17,9,Marcus EricssonERI,Sauber Ferrari,25,14:51:51,1:50.775,227.618
18,33,Max VerstappenVER,Red Bull Racing TAG Heuer,5,14:13:01,1:51.022,227.111
19,14,Fernando AlonsoALO,McLaren Honda,12,14:26:45,1:51.720,225.692
