Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,8,Romain GrosjeanGRO,Haas Ferrari,3,14:08:10,33.433,33.433
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,3,14:08:20,39.888,39.888
1,27,Nico HulkenbergHUL,Renault,9,14:16:50,24.418,24.418
1,20,Kevin MagnussenMAG,Haas Ferrari,11,14:19:43,24.384,24.384
1,55,Carlos SainzSAI,Toro Rosso,13,14:22:44,24.865,24.865
1,7,Kimi RäikkönenRAI,Ferrari,15,14:25:17,25.367,25.367
1,31,Esteban OconOCO,Force India Mercedes,16,14:26:42,24.432,24.432
1,18,Lance StrollSTR,Williams Mercedes,17,14:28:09,26.131,26.131
1,9,Marcus EricssonERI,Sauber Ferrari,18,14:30:19,25.310,25.310
1,26,Daniil KvyatKVY,Toro Rosso,19,14:31:23,25.826,25.826
1,94,Pascal WehrleinWEH,Sauber Ferrari,20,14:33:19,25.212,25.212
1,19,Felipe MassaMAS,Williams Mercedes,21,14:33:59,25.078,25.078
1,30,Jolyon PalmerPAL,Renault,25,14:40:16,31.008,31.008
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,27,14:43:27,24.173,1:04.061
1,14,Fernando AlonsoALO,McLaren Honda,30,14:47:38,24.442,24.442
1,5,Sebastian VettelVET,Ferrari,31,14:48:03,24.307,24.307
1,44,Lewis HamiltonHAM,Mercedes,32,14:49:05,23.725,23.725
1,11,Sergio PerezPER,Force India Mercedes,32,14:49:55,25.377,25.377
1,77,Valtteri BottasBOT,Mercedes,33,14:50:35,23.728,23.728
2,8,Romain GrosjeanGRO,Haas Ferrari,34,14:53:53,24.307,57.740
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,37,14:56:51,23.951,23.951
