Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,26,Daniil KvyatKVY,Toro Rosso,1,14:04:23,33.607,33.607
2,26,Daniil KvyatKVY,Toro Rosso,9,14:14:29,16.139,49.746
1,27,Nico HulkenbergHUL,Renault,14,14:19:44,21.977,21.977
1,44,Lewis HamiltonHAM,Mercedes,31,14:38:58,20.761,20.761
1,2,Stoffel VandoorneVAN,McLaren Honda,31,14:39:43,21.714,21.714
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,33,14:41:11,21.713,21.713
1,5,Sebastian VettelVET,Ferrari,34,14:42:15,21.750,21.750
1,30,Jolyon PalmerPAL,Renault,34,14:43:13,22.233,22.233
1,9,Marcus EricssonERI,Sauber Ferrari,34,14:43:40,22.339,22.339
1,11,Sergio PerezPER,Force India Mercedes,35,14:44:03,22.030,22.030
1,18,Lance StrollSTR,Williams Mercedes,35,14:44:21,21.332,21.332
1,94,Pascal WehrleinWEH,Sauber Ferrari,35,14:44:41,22.414,22.414
1,8,Romain GrosjeanGRO,Haas Ferrari,36,14:45:10,22.026,22.026
1,77,Valtteri BottasBOT,Mercedes,41,14:50:11,22.387,22.387
1,55,Carlos SainzSAI,Toro Rosso,40,14:50:18,21.659,21.659
1,31,Esteban OconOCO,Force India Mercedes,42,14:52:17,22.176,22.176
1,7,Kimi RäikkönenRAI,Ferrari,44,14:53:59,21.662,21.662
2,2,Stoffel VandoorneVAN,McLaren Honda,44,14:55:17,16.206,37.920
1,19,Felipe MassaMAS,Williams Mercedes,47,14:58:07,20.977,20.977
3,26,Daniil KvyatKVY,Toro Rosso,55,15:09:24,22.274,1:12.020
