Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:17.113,,20
2,44,Lewis HamiltonHAM,Mercedes,1:17.188,+0.075s,23
3,5,Sebastian VettelVET,Ferrari,1:17.230,+0.117s,21
4,77,Valtteri BottasBOT,Mercedes,1:17.283,+0.170s,18
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:17.361,+0.248s,10
6,7,Kimi RäikkönenRAI,Ferrari,1:17.517,+0.404s,27
7,11,Sergio PerezPER,Force India Mercedes,1:18.040,+0.927s,20
8,31,Esteban OconOCO,Force India Mercedes,1:18.165,+1.052s,18
9,55,Carlos SainzSAI,Renault,1:18.208,+1.095s,21
10,27,Nico HulkenbergHUL,Renault,1:18.380,+1.267s,21
11,28,Brendon HartleyHAR,Toro Rosso,1:18.602,+1.489s,23
12,19,Felipe MassaMAS,Williams Mercedes,1:18.690,+1.577s,23
13,18,Lance StrollSTR,Williams Mercedes,1:19.066,+1.953s,20
14,20,Kevin MagnussenMAG,Haas Ferrari,1:19.205,+2.092s,19
15,9,Marcus EricssonERI,Sauber Ferrari,1:19.331,+2.218s,27
16,14,Fernando AlonsoALO,McLaren Honda,1:19.565,+2.452s,22
17,8,Romain GrosjeanGRO,Haas Ferrari,1:19.586,+2.473s,22
18,94,Pascal WehrleinWEH,Sauber Ferrari,1:19.826,+2.713s,16
19,2,Stoffel VandoorneVAN,McLaren Honda,1:20.030,+2.917s,25
20,10,Pierre GaslyGAS,Toro Rosso,,,2
