Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:09.452,1:08.638,1:08.322,22
2,5,Sebastian VettelVET,Ferrari,1:09.643,1:08.494,1:08.360,21
3,7,Kimi RäikkönenRAI,Ferrari,1:09.405,1:09.116,1:08.538,18
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:09.820,1:09.050,1:08.925,18
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:09.828,1:09.533,1:09.330,19
6,11,Sergio PerezPER,Force India Mercedes,1:10.145,1:09.760,1:09.598,21
7,14,Fernando AlonsoALO,McLaren Honda,1:10.172,1:09.593,1:09.617,17
8,27,Nico HulkenbergHUL,Renault,1:10.078,1:09.726,1:09.703,21
9,55,Carlos SainzSAI,Renault,1:10.227,1:09.768,1:09.805,17
10,19,Felipe MassaMAS,Williams Mercedes,1:09.789,1:09.612,1:09.841,16
11,31,Esteban OconOCO,Force India Mercedes,1:10.168,1:09.830,,17
12,8,Romain GrosjeanGRO,Haas Ferrari,1:10.148,1:09.879,,16
13,2,Stoffel VandoorneVAN,McLaren Honda,1:10.286,1:10.116,,15
14,20,Kevin MagnussenMAG,Haas Ferrari,1:10.521,1:10.154,,18
15,28,Brendon HartleyHAR,Toro Rosso,1:10.625,DNS,,15
16,94,Pascal WehrleinWEH,Sauber Ferrari,1:10.678,,,12
17,10,Pierre GaslyGAS,Toro Rosso,1:10.686,,,10
18,18,Lance StrollSTR,Williams Mercedes,1:10.776,,,8
19,9,Marcus EricssonERI,Sauber Ferrari,1:10.875,,,12
NC,44,Lewis HamiltonHAM,Mercedes,DNF,,,2
