Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,5,Sebastian VettelVET,Ferrari,53,15:41:58,1:32.318,226.447
2,44,Lewis HamiltonHAM,Mercedes,51,15:37:41,1:32.785,225.307
3,77,Valtteri BottasBOT,Mercedes,46,15:30:04,1:33.110,224.521
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,50,15:36:27,1:33.187,224.336
5,18,Lance StrollSTR,Williams Mercedes,41,15:24:20,1:33.354,223.934
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,50,15:36:21,1:33.367,223.903
7,14,Fernando AlonsoALO,McLaren Renault,28,15:02:31,1:33.943,222.530
8,35,Sergey SirotkinSIR,Williams Mercedes,41,15:24:10,1:33.985,222.431
9,11,Sergio PerezPER,Force India Mercedes,43,15:26:24,1:34.073,222.223
10,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,35,15:13:33,1:34.133,222.081
11,55,Carlos SainzSAI,Renault,50,15:37:47,1:34.197,221.930
12,7,Kimi RäikkönenRAI,Ferrari,28,15:01:39,1:34.223,221.869
13,16,Charles LeclercLEC,Sauber Ferrari,37,15:17:14,1:34.515,221.183
14,31,Esteban OconOCO,Force India Mercedes,50,15:37:32,1:34.670,220.821
15,8,Romain GrosjeanGRO,Haas Ferrari,47,15:32:46,1:34.786,220.551
16,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,30,15:05:40,1:34.857,220.386
17,27,Nico HulkenbergHUL,Renault,32,15:09:06,1:34.934,220.207
18,2,Stoffel VandoorneVAN,McLaren Renault,25,14:57:45,1:35.023,220.001
19,9,Marcus EricssonERI,Sauber Ferrari,8,14:29:39,1:36.294,217.097
20,20,Kevin MagnussenMAG,Haas Ferrari,6,14:26:55,1:39.908,209.244
