Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,20,Kevin MagnussenMAG,Haas Ferrari,2,14:17:48,29.007,29.007
1,16,Charles LeclercLEC,Sauber Ferrari,4,14:20:44,38.891,38.891
1,35,Sergey SirotkinSIR,Williams Mercedes,4,14:20:51,23.660,23.660
1,9,Marcus EricssonERI,Sauber Ferrari,5,14:23:11,23.244,23.244
1,18,Lance StrollSTR,Williams Mercedes,14,14:39:30,23.657,23.657
1,7,Kimi RäikkönenRAI,Ferrari,17,14:43:53,22.781,22.781
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,21,14:50:08,28.789,28.789
1,77,Valtteri BottasBOT,Mercedes,23,14:53:12,22.777,22.777
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,23,14:53:24,22.864,22.864
1,2,Stoffel VandoorneVAN,McLaren Renault,23,14:54:14,23.159,23.159
1,44,Lewis HamiltonHAM,Mercedes,24,14:54:41,22.614,22.614
1,11,Sergio PerezPER,Force India Mercedes,24,14:55:30,23.635,23.635
1,31,Esteban OconOCO,Force India Mercedes,26,14:58:45,23.316,23.316
1,5,Sebastian VettelVET,Ferrari,26,14:58:49,22.748,22.748
1,14,Fernando AlonsoALO,McLaren Renault,26,14:58:57,27.454,27.454
1,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,28,15:02:08,23.110,23.110
1,8,Romain GrosjeanGRO,Haas Ferrari,29,15:03:29,23.692,23.692
1,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,29,15:03:37,23.376,23.376
1,27,Nico HulkenbergHUL,Renault,30,15:05:33,23.555,23.555
1,55,Carlos SainzSAI,Renault,32,15:08:30,23.477,23.477
2,16,Charles LeclercLEC,Sauber Ferrari,35,15:13:39,26.672,1:05.563
2,35,Sergey SirotkinSIR,Williams Mercedes,38,15:18:43,23.647,47.307
2,18,Lance StrollSTR,Williams Mercedes,39,15:20:25,29.804,53.461
