Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,Ferrari,1:42.762,1:43.015,1:41.498,19
2,44,Lewis HamiltonHAM,Mercedes,1:42.693,1:42.676,1:41.677,21
3,77,Valtteri BottasBOT,Mercedes,1:43.355,1:42.679,1:41.837,21
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:42.857,1:43.482,1:41.911,20
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:42.642,1:42.901,1:41.994,19
6,7,Kimi RäikkönenRAI,Ferrari,1:42.538,1:42.510,1:42.490,20
7,31,Esteban OconOCO,Force India Mercedes,1:43.021,1:42.967,1:42.523,20
8,11,Sergio PerezPER,Force India Mercedes,1:43.992,1:43.366,1:42.547,20
9,27,Nico HulkenbergHUL,Renault,1:43.746,1:43.232,1:43.066,20
10,55,Carlos SainzSAI,Renault,1:43.426,1:43.464,1:43.351,20
11,18,Lance StrollSTR,Williams Mercedes,1:44.359,1:43.585,,16
12,35,Sergey SirotkinSIR,Williams Mercedes,1:44.261,1:43.886,,17
13,14,Fernando AlonsoALO,McLaren Renault,1:44.010,1:44.019,,16
14,16,Charles LeclercLEC,Sauber Ferrari,1:43.752,1:44.074,,17
15,20,Kevin MagnussenMAG,Haas Ferrari,1:43.674,1:44.759,,14
16,2,Stoffel VandoorneVAN,McLaren Renault,1:44.489,,,8
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:44.496,,,9
18,9,Marcus EricssonERI,Sauber Ferrari,1:45.541,,,10
NC,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:57.354,,,5
NC,8,Romain GrosjeanGRO,Haas Ferrari,DNF,,,2
