Pos,No,Driver,Car,Time
1,7,Kimi RäikkönenRAI,Ferrari,1:19.119
2,5,Sebastian VettelVET,Ferrari,1:19.280
3,44,Lewis HamiltonHAM,Mercedes,1:19.294
4,77,Valtteri BottasBOT,Mercedes,1:19.656
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:20.615
6,8,Romain GrosjeanGRO,Haas Ferrari,1:20.936
7,55,Carlos SainzSAI,Renault,1:21.041
8,31,Esteban OconOCO,Force India Mercedes,1:21.099
9,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:21.350
10,18,Lance StrollSTR,Williams Mercedes,1:21.627
11,20,Kevin MagnussenMAG,Haas Ferrari,1:21.669
12,35,Sergey SirotkinSIR,Williams Mercedes,1:21.732
13,14,Fernando AlonsoALO,McLaren Renault,1:22.568
14,11,Sergio PerezPER,Force India Mercedes,1:21.888
15,16,Charles LeclercLEC,Sauber Ferrari,1:21.889
16,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:21.934
17,2,Stoffel VandoorneVAN,McLaren Renault,1:22.085
18,9,Marcus EricssonERI,Sauber Ferrari,1:22.048
19,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,
20,27,Nico HulkenbergHUL,Renault,
