Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:32.237
2,7,Kimi RäikkönenRAI,Ferrari,1:32.307
3,77,Valtteri BottasBOT,Mercedes,1:32.616
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:33.494
5,5,Sebastian VettelVET,Ferrari,1:32.298
6,31,Esteban OconOCO,Force India Mercedes,1:34.145
7,27,Nico HulkenbergHUL,Renault,1:34.215
8,8,Romain GrosjeanGRO,Haas Ferrari,1:34.250
9,16,Charles LeclercLEC,Sauber Ferrari,1:34.420
10,11,Sergio PerezPER,Force India Mercedes,1:34.594
11,55,Carlos SainzSAI,Renault,1:34.566
12,20,Kevin MagnussenMAG,Haas Ferrari,1:34.732
13,14,Fernando AlonsoALO,McLaren Renault,1:35.294
14,35,Sergey SirotkinSIR,Williams Mercedes,1:35.362
15,18,Lance StrollSTR,Williams Mercedes,1:35.480
16,9,Marcus EricssonERI,Sauber Ferrari,1:35.536
17,2,Stoffel VandoorneVAN,McLaren Renault,1:35.735
18,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:34.766
19,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,
20,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,
