Pos,No,Driver,Car,Time
1,5,Sebastian VettelVET,Ferrari,1:41.498
2,44,Lewis HamiltonHAM,Mercedes,1:41.677
3,77,Valtteri BottasBOT,Mercedes,1:41.837
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:41.911
5,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:41.994
6,7,Kimi RäikkönenRAI,Ferrari,1:42.490
7,31,Esteban OconOCO,Force India Mercedes,1:42.523
8,11,Sergio PerezPER,Force India Mercedes,1:42.547
9,55,Carlos SainzSAI,Renault,1:43.351
10,18,Lance StrollSTR,Williams Mercedes,1:43.585
11,35,Sergey SirotkinSIR,Williams Mercedes,1:43.886
12,14,Fernando AlonsoALO,McLaren Renault,1:44.019
13,16,Charles LeclercLEC,Sauber Ferrari,1:44.074
14,27,Nico HulkenbergHUL,Renault,1:43.066
15,20,Kevin MagnussenMAG,Haas Ferrari,1:44.759
16,2,Stoffel VandoorneVAN,McLaren Renault,1:44.489
17,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:44.496
18,9,Marcus EricssonERI,Sauber Ferrari,1:45.541
19,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:57.354
20,8,Romain GrosjeanGRO,Haas Ferrari,
