Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,20,Kevin MagnussenMAG,Haas Ferrari,58,22:08:16,1:42.301,178.168
2,77,Valtteri BottasBOT,Mercedes,58,22:07:05,1:43.534,176.046
3,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,57,22:05:44,1:44.371,174.634
4,16,Charles LeclercLEC,Ferrari,59,22:08:45,1:44.723,174.047
5,5,Sebastian VettelVET,Ferrari,57,22:05:13,1:44.802,173.916
6,18,Lance StrollSTR,Racing Point BWT Mercedes,57,22:05:40,1:44.896,173.760
7,44,Lewis HamiltonHAM,Mercedes,58,22:07:02,1:44.914,173.730
8,33,Max VerstappenVER,Red Bull Racing Honda,56,22:03:31,1:45.176,173.298
9,23,Alexander AlbonALB,Red Bull Racing Honda,59,22:08:53,1:45.260,173.159
10,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,59,22:09:00,1:45.630,172.553
11,4,Lando NorrisNOR,McLaren Renault,58,22:07:11,1:45.716,172.412
12,27,Nico HulkenbergHUL,Renault,59,22:08:59,1:45.765,172.333
13,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,58,22:07:12,1:45.769,172.326
14,3,Daniel RicciardoRIC,Renault,55,22:02:01,1:45.915,172.088
15,55,Carlos SainzSAI,McLaren Renault,41,21:32:47,1:45.969,172.001
16,8,Romain GrosjeanGRO,Haas Ferrari,54,22:00:12,1:46.274,171.507
17,11,Sergio PerezPER,Racing Point BWT Mercedes,15,20:41:46,1:46.683,170.850
18,88,Robert KubicaKUB,Williams Mercedes,59,22:09:26,1:46.793,170.674
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,18,20:47:12,1:47.062,170.245
20,63,George RussellRUS,Williams Mercedes,29,21:07:31,1:48.285,168.322
