Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:32.830,,11
2,5,Sebastian VettelVET,Ferrari,1:33.222,+0.392s,12
3,16,Charles LeclercLEC,Ferrari,1:33.248,+0.418s,10
4,44,Lewis HamiltonHAM,Mercedes,1:33.689,+0.859s,10
5,27,Nico HulkenbergHUL,Renault,1:33.974,+1.144s,11
6,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:34.246,+1.416s,14
7,33,Max VerstappenVER,Red Bull Racing Honda,1:34.447,+1.617s,5
8,55,Carlos SainzSAI,McLaren Renault,1:34.510,+1.680s,9
9,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:34.600,+1.770s,11
10,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:34.783,+1.953s,10
11,4,Lando NorrisNOR,McLaren Renault,1:34.938,+2.108s,11
12,11,Sergio PerezPER,Racing Point BWT Mercedes,1:35.078,+2.248s,9
13,3,Daniel RicciardoRIC,Renault,1:35.142,+2.312s,11
14,18,Lance StrollSTR,Racing Point BWT Mercedes,1:35.223,+2.393s,10
15,10,Pierre GaslyGAS,Red Bull Racing Honda,1:35.326,+2.496s,8
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:35.726,+2.896s,12
17,8,Romain GrosjeanGRO,Haas Ferrari,1:35.771,+2.941s,14
18,20,Kevin MagnussenMAG,Haas Ferrari,1:35.998,+3.168s,15
19,63,George RussellRUS,Williams Mercedes,1:36.124,+3.294s,10
20,88,Robert KubicaKUB,Williams Mercedes,1:36.176,+3.346s,11
