Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:04.138,1:03.378,1:03.003,19
2,44,Lewis HamiltonHAM,Mercedes,1:03.818,1:03.803,1:03.262,27
3,33,Max VerstappenVER,Red Bull Racing Honda,1:03.807,1:03.835,1:03.439,18
4,77,Valtteri BottasBOT,Mercedes,1:04.084,1:03.863,1:03.537,25
5,20,Kevin MagnussenMAG,Haas Ferrari,1:04.778,1:04.466,1:04.072,20
6,4,Lando NorrisNOR,McLaren Renault,1:04.361,1:04.211,1:04.099,19
7,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:04.615,1:04.056,1:04.166,23
8,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:04.450,1:04.194,1:04.179,22
9,10,Pierre GaslyGAS,Red Bull Racing Honda,1:04.412,1:03.988,1:04.199,18
10,5,Sebastian VettelVET,Ferrari,1:04.340,1:03.667,,9
11,8,Romain GrosjeanGRO,Haas Ferrari,1:04.552,1:04.490,,18
12,27,Nico HulkenbergHUL,Renault,1:04.733,1:04.516,,12
13,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:04.708,1:04.665,,15
14,3,Daniel RicciardoRIC,Renault,1:04.647,1:04.790,,12
15,55,Carlos SainzSAI,McLaren Renault,1:04.453,1:13.601,,12
16,11,Sergio PerezPER,Racing Point BWT Mercedes,1:04.789,,,8
17,18,Lance StrollSTR,Racing Point BWT Mercedes,1:04.832,,,9
18,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:05.324,,,8
19,63,George RussellRUS,Williams Mercedes,1:05.904,,,12
20,88,Robert KubicaKUB,Williams Mercedes,1:06.206,,,11
