Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,53,1:33:38.992,26
2,77,Valtteri BottasBOT,Mercedes,53,+3.829s,18
3,16,Charles LeclercLEC,Ferrari,53,+5.212s,15
4,33,Max VerstappenVER,Red Bull Racing Honda,53,+14.210s,12
5,23,Alexander AlbonALB,Red Bull Racing Honda,53,+38.348s,10
6,55,Carlos SainzSAI,McLaren Renault,53,+45.889s,8
7,11,Sergio PerezPER,Racing Point BWT Mercedes,53,+48.728s,6
8,4,Lando NorrisNOR,McLaren Renault,53,+57.749s,4
9,20,Kevin MagnussenMAG,Haas Ferrari,53,+58.779s,2
10,27,Nico HulkenbergHUL,Renault,53,+59.841s,1
11,18,Lance StrollSTR,Racing Point BWT Mercedes,53,+60.821s,0
12,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,53,+62.496s,0
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,53,+68.910s,0
14,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,53,+70.076s,0
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,53,+73.346s,0
NC,88,Robert KubicaKUB,Williams Mercedes,28,DNF,0
NC,63,George RussellRUS,Williams Mercedes,27,DNF,0
NC,5,Sebastian VettelVET,Ferrari,26,DNF,0
NC,3,Daniel RicciardoRIC,Renault,24,DNF,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,0,DNF,0
