Pos,No,Driver,Car,Laps,Time/retired,Pts
1,77,Valtteri BottasBOT,Mercedes,51,1:31:52.942,25
2,44,Lewis HamiltonHAM,Mercedes,51,+1.524s,18
3,5,Sebastian VettelVET,Ferrari,51,+11.739s,15
4,33,Max VerstappenVER,Red Bull Racing Honda,51,+17.493s,12
5,16,Charles LeclercLEC,Ferrari,51,+69.107s,11
6,11,Sergio PerezPER,Racing Point BWT Mercedes,51,+76.416s,8
7,55,Carlos SainzSAI,McLaren Renault,51,+83.826s,6
8,4,Lando NorrisNOR,McLaren Renault,51,+100.268s,4
9,18,Lance StrollSTR,Racing Point BWT Mercedes,51,+103.816s,2
10,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,50,+1 lap,1
11,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,50,+1 lap,0
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,50,+1 lap,0
13,20,Kevin MagnussenMAG,Haas Ferrari,50,+1 lap,0
14,27,Nico HulkenbergHUL,Renault,50,+1 lap,0
15,63,George RussellRUS,Williams Mercedes,49,+2 laps,0
16,88,Robert KubicaKUB,Williams Mercedes,49,+2 laps,0
NC,10,Pierre GaslyGAS,Red Bull Racing Honda,38,DNF,0
NC,8,Romain GrosjeanGRO,Haas Ferrari,38,DNF,0
NC,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,33,DNF,0
NC,3,Daniel RicciardoRIC,Renault,31,DNF,0
