Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,Renault,55,18:51:11,1:40.926,198.109
2,33,Max VerstappenVER,Red Bull Racing Honda,14,17:40:35,1:40.958,198.046
3,77,Valtteri BottasBOT,Mercedes,40,18:24:40,1:41.131,197.707
4,23,Alexander AlbonALB,Red Bull Racing Honda,42,18:28:15,1:41.227,197.520
5,44,Lewis HamiltonHAM,Mercedes,37,18:19:39,1:41.420,197.144
6,5,Sebastian VettelVET,Ferrari,37,18:21:01,1:41.475,197.037
7,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,29,18:07:27,1:41.675,196.650
8,51,Pietro FittipaldiFIT,Haas Ferrari,50,18:44:58,1:41.707,196.588
9,18,Lance StrollSTR,Racing Point BWT Mercedes,41,18:27:32,1:41.866,196.281
10,16,Charles LeclercLEC,Ferrari,24,17:58:34,1:41.908,196.200
11,55,Carlos SainzSAI,McLaren Renault,48,18:39:06,1:41.947,196.125
12,4,Lando NorrisNOR,McLaren Renault,53,18:47:33,1:41.964,196.092
13,20,Kevin MagnussenMAG,Haas Ferrari,50,18:44:39,1:41.999,196.025
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,53,18:48:18,1:42.148,195.739
15,10,Pierre GaslyGAS,AlphaTauri Honda,53,18:48:01,1:42.474,195.116
16,6,Nicholas LatifiLAT,Williams Mercedes,49,18:42:04,1:42.497,195.073
17,26,Daniil KvyatKVY,AlphaTauri Honda,47,18:37:55,1:42.704,194.679
18,31,Esteban OconOCO,Renault,47,18:37:53,1:42.894,194.320
19,11,Sergio PerezPER,Racing Point BWT Mercedes,6,17:24:12,1:43.263,193.625
20,63,George RussellRUS,Williams Mercedes,54,18:50:29,1:43.328,193.504
