Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,63,George RussellRUS,Williams Mercedes,1,14:15:56,30.165,30.165
1,23,Alexander AlbonALB,Red Bull Racing Honda,1,14:16:00,30.211,30.211
1,4,Lando NorrisNOR,McLaren Renault,1,14:16:01,37.108,37.108
2,63,George RussellRUS,Williams Mercedes,14,14:43:16,29.433,59.598
1,3,Daniel RicciardoRIC,Renault,15,14:44:24,30.112,30.112
1,44,Lewis HamiltonHAM,Mercedes,16,14:45:50,41.352,41.352
1,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,16,14:46:23,29.767,29.767
1,8,Romain GrosjeanGRO,Haas Ferrari,17,14:48:03,30.054,30.054
1,6,Nicholas LatifiLAT,Williams Mercedes,17,14:48:20,29.862,29.862
1,31,Esteban OconOCO,Renault,18,14:49:24,30.068,30.068
1,10,Pierre GaslyGAS,AlphaTauri Honda,18,14:49:32,29.770,29.770
1,20,Kevin MagnussenMAG,Haas Ferrari,19,14:51:23,30.188,30.188
1,11,Sergio PerezPER,Racing Point BWT Mercedes,20,14:52:46,29.602,29.602
1,33,Max VerstappenVER,Red Bull Racing Honda,25,15:00:57,28.748,28.748
1,77,Valtteri BottasBOT,Mercedes,26,15:02:26,29.750,29.750
2,23,Alexander AlbonALB,Red Bull Racing Honda,27,15:05:10,30.111,1:00.322
1,16,Charles LeclercLEC,Ferrari,28,15:06:20,30.261,30.261
1,26,Daniil KvyatKVY,AlphaTauri Honda,30,15:09:46,29.662,29.662
1,5,Sebastian VettelVET,Ferrari,30,15:10:13,29.395,29.395
1,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,35,15:18:43,33.317,33.317
2,10,Pierre GaslyGAS,AlphaTauri Honda,42,15:30:21,29.409,59.179
2,8,Romain GrosjeanGRO,Haas Ferrari,42,15:31:06,29.988,1:00.042
2,4,Lando NorrisNOR,McLaren Renault,47,15:39:13,31.368,1:08.476
3,63,George RussellRUS,Williams Mercedes,50,15:45:09,29.675,1:29.273
