Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,23,Alexander AlbonALB,Red Bull Racing Honda,6,14:26:01,28.834,28.834
1,3,Daniel RicciardoRIC,Renault,12,14:35:22,29.559,29.559
1,4,Lando NorrisNOR,McLaren Renault,12,14:35:24,30.289,30.289
1,31,Esteban OconOCO,Renault,12,14:35:26,30.768,30.768
1,5,Sebastian VettelVET,Ferrari,12,14:35:27,29.439,29.439
1,10,Pierre GaslyGAS,AlphaTauri Honda,12,14:35:29,29.414,29.414
1,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,12,14:35:30,28.355,28.355
1,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,12,14:35:35,36.590,36.590
1,63,George RussellRUS,Williams Mercedes,12,14:35:36,29.302,29.302
1,6,Nicholas LatifiLAT,Williams Mercedes,12,14:35:42,31.371,31.371
1,44,Lewis HamiltonHAM,Mercedes,13,14:37:01,28.805,28.805
1,77,Valtteri BottasBOT,Mercedes,13,14:37:06,30.571,30.571
1,33,Max VerstappenVER,Red Bull Racing Honda,13,14:37:10,28.208,28.208
1,16,Charles LeclercLEC,Ferrari,13,14:37:21,29.520,29.520
1,55,Carlos SainzSAI,McLaren Renault,13,14:37:27,28.487,28.487
1,18,Lance StrollSTR,Racing Point BWT Mercedes,13,14:37:32,28.716,28.716
2,23,Alexander AlbonALB,Red Bull Racing Honda,30,15:08:33,33.308,1:02.142
1,8,Romain GrosjeanGRO,Haas Ferrari,36,15:17:38,33.816,33.816
2,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,47,15:35:09,44.085,1:20.675
2,33,Max VerstappenVER,Red Bull Racing Honda,50,15:38:04,28.273,56.481
2,77,Valtteri BottasBOT,Mercedes,50,15:38:33,33.602,1:04.173
2,55,Carlos SainzSAI,McLaren Renault,51,15:40:13,36.278,1:04.765
