Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:26.573,1:25.971,1:25.269,19
2,44,Lewis HamiltonHAM,Mercedes,1:26.620,1:25.390,1:25.525,18
3,33,Max VerstappenVER,Red Bull Racing Honda,1:26.319,1:25.467,1:25.562,15
4,16,Charles LeclercLEC,Ferrari,1:26.857,1:26.240,1:26.035,18
5,23,Alexander AlbonALB,Red Bull Racing Honda,1:27.126,1:26.285,1:26.047,15
6,3,Daniel RicciardoRIC,Renault,1:26.836,1:26.096,1:26.223,18
7,31,Esteban OconOCO,Renault,1:27.086,1:26.364,1:26.242,20
8,4,Lando NorrisNOR,McLaren Renault,1:26.829,1:26.316,1:26.458,18
9,11,Sergio PerezPER,Racing Point BWT Mercedes,1:27.120,1:26.330,1:26.704,17
10,55,Carlos SainzSAI,McLaren Renault,1:27.378,1:26.361,1:26.709,20
11,5,Sebastian VettelVET,Ferrari,1:27.107,1:26.738,,16
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.072,1:26.776,,16
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.285,1:26.848,,16
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:27.532,1:26.936,,14
15,20,Kevin MagnussenMAG,Haas Ferrari,1:27.231,1:27.125,,16
16,8,Romain GrosjeanGRO,Haas Ferrari,1:27.552,,,10
17,63,George RussellRUS,Williams Mercedes,1:27.564,,,9
18,6,Nicholas LatifiLAT,Williams Mercedes,1:27.812,,,9
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:27.817,,,8
20,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:28.021,,,10
