Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:16.828,1:16.824,1:16.652,21
2,77,Valtteri BottasBOT,Mercedes,1:16.945,1:16.466,1:16.754,17
3,33,Max VerstappenVER,Red Bull Racing Honda,1:16.879,1:17.038,1:16.904,23
4,16,Charles LeclercLEC,Ferrari,1:17.421,1:17.367,1:17.090,23
5,11,Sergio PerezPER,Racing Point BWT Mercedes,1:17.370,1:17.129,1:17.223,21
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:17.435,1:17.411,1:17.437,29
7,55,Carlos SainzSAI,McLaren Renault,1:17.627,1:17.183,1:17.520,24
8,4,Lando NorrisNOR,McLaren Renault,1:17.547,1:17.321,1:17.525,24
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:17.209,1:17.367,1:17.803,26
10,3,Daniel RicciardoRIC,Renault,1:17.621,1:17.481,,17
11,31,Esteban OconOCO,Renault,1:17.775,1:17.614,,18
12,18,Lance StrollSTR,Racing Point BWT Mercedes,1:17.667,1:17.626,,22
13,26,Daniil KvyatKVY,AlphaTauri Honda,1:17.841,1:17.728,,22
14,63,George RussellRUS,Williams Mercedes,1:17.931,1:17.788,,17
15,5,Sebastian VettelVET,Ferrari,1:17.446,1:17.919,,20
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:18.201,,,12
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:18.323,,,12
18,8,Romain GrosjeanGRO,Haas Ferrari,1:18.364,,,12
19,20,Kevin MagnussenMAG,Haas Ferrari,1:18.508,,,10
20,6,Nicholas LatifiLAT,Williams Mercedes,1:18.777,,,11
