Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:25.900,1:25.347,1:24.303,22
2,77,Valtteri BottasBOT,Mercedes,1:25.801,1:25.015,1:24.616,17
3,33,Max VerstappenVER,Red Bull Racing Honda,1:26.115,1:26.144,1:25.325,15
4,16,Charles LeclercLEC,Ferrari,1:26.550,1:26.203,1:25.427,16
5,4,Lando NorrisNOR,McLaren Renault,1:26.855,1:26.420,1:25.782,20
6,18,Lance StrollSTR,Racing Point BWT Mercedes,1:26.243,1:26.501,1:25.839,20
7,55,Carlos SainzSAI,McLaren Renault,1:26.715,1:26.149,1:25.965,20
8,3,Daniel RicciardoRIC,Renault,1:26.677,1:26.339,1:26.009,19
9,31,Esteban OconOCO,Renault,1:26.396,1:26.252,1:26.209,20
10,5,Sebastian VettelVET,Ferrari,1:26.469,1:26.455,1:26.339,20
11,10,Pierre GaslyGAS,AlphaTauri Honda,1:26.343,1:26.501,,12
12,23,Alexander AlbonALB,Red Bull Racing Honda,1:26.565,1:26.545,,11
13,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:26.327,1:26.566,,14
14,26,Daniil KvyatKVY,AlphaTauri Honda,1:26.774,1:26.744,,12
15,63,George RussellRUS,Williams Mercedes,1:26.732,1:27.092,,14
16,20,Kevin MagnussenMAG,Haas Ferrari,1:27.158,,,9
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:27.164,,,9
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:27.366,,,9
19,8,Romain GrosjeanGRO,Haas Ferrari,1:27.643,,,9
20,6,Nicholas LatifiLAT,Williams Mercedes,1:27.705,,,7
