Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:26.738,1:25.785,1:25.154,20
2,44,Lewis HamiltonHAM,Mercedes,1:26.818,1:26.266,1:25.217,20
3,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:27.279,1:26.261,1:26.082,18
4,33,Max VerstappenVER,Red Bull Racing Honda,1:27.154,1:26.779,1:26.176,12
5,3,Daniel RicciardoRIC,Renault,1:27.442,1:26.636,1:26.297,14
6,18,Lance StrollSTR,Racing Point BWT Mercedes,1:27.187,1:26.674,1:26.428,18
7,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.154,1:26.523,1:26.534,18
8,16,Charles LeclercLEC,Ferrari,1:27.427,1:26.709,1:26.614,16
9,23,Alexander AlbonALB,Red Bull Racing Honda,1:27.153,1:26.642,1:26.669,18
10,4,Lando NorrisNOR,McLaren Renault,1:27.217,1:26.885,1:26.778,18
11,31,Esteban OconOCO,Renault,1:27.278,1:27.011,,12
12,5,Sebastian VettelVET,Ferrari,1:27.612,1:27.078,,14
13,55,Carlos SainzSAI,McLaren Renault,1:27.450,1:27.083,,12
14,8,Romain GrosjeanGRO,Haas Ferrari,1:27.519,1:27.254,,16
15,63,George RussellRUS,Williams Mercedes,1:27.757,1:27.455,,11
16,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.882,,,6
17,20,Kevin MagnussenMAG,Haas Ferrari,1:28.236,,,9
18,6,Nicholas LatifiLAT,Williams Mercedes,1:28.430,,,6
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:28.433,,,6
20,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:28.493,,,6
