Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,66,1:31:45.279,25
2,33,Max VerstappenVER,Red Bull Racing Honda,66,+24.177s,18
3,77,Valtteri BottasBOT,Mercedes,66,+44.752s,16
4,18,Lance StrollSTR,Racing Point BWT Mercedes,65,+1 lap,12
5,11,Sergio PerezPER,Racing Point BWT Mercedes,65,+1 lap,10
6,55,Carlos SainzSAI,McLaren Renault,65,+1 lap,8
7,5,Sebastian VettelVET,Ferrari,65,+1 lap,6
8,23,Alexander AlbonALB,Red Bull Racing Honda,65,+1 lap,4
9,10,Pierre GaslyGAS,AlphaTauri Honda,65,+1 lap,2
10,4,Lando NorrisNOR,McLaren Renault,65,+1 lap,1
11,3,Daniel RicciardoRIC,Renault,65,+1 lap,0
12,26,Daniil KvyatKVY,AlphaTauri Honda,65,+1 lap,0
13,31,Esteban OconOCO,Renault,65,+1 lap,0
14,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,65,+1 lap,0
15,20,Kevin MagnussenMAG,Haas Ferrari,65,+1 lap,0
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,65,+1 lap,0
17,63,George RussellRUS,Williams Mercedes,65,+1 lap,0
18,6,Nicholas LatifiLAT,Williams Mercedes,64,+2 laps,0
19,8,Romain GrosjeanGRO,Haas Ferrari,64,+2 laps,0
NC,16,Charles LeclercLEC,Ferrari,38,DNF,0
