Pos,No,Driver,Car,Time
1,77,Valtteri BottasBOT,Mercedes,1:25.154
2,44,Lewis HamiltonHAM,Mercedes,1:25.217
3,27,Nico HulkenbergHUL,Racing Point BWT Mercedes,1:26.082
4,33,Max VerstappenVER,Red Bull Racing Honda,1:26.176
5,3,Daniel RicciardoRIC,Renault,1:26.297
6,18,Lance StrollSTR,Racing Point BWT Mercedes,1:26.428
7,10,Pierre GaslyGAS,AlphaTauri Honda,1:26.534
8,16,Charles LeclercLEC,Ferrari,1:26.614
9,23,Alexander AlbonALB,Red Bull Racing Honda,1:26.669
10,4,Lando NorrisNOR,McLaren Renault,1:26.778
11,5,Sebastian VettelVET,Ferrari,1:27.078
12,55,Carlos SainzSAI,McLaren Renault,1:27.083
13,8,Romain GrosjeanGRO,Haas Ferrari,1:27.254
14,31,Esteban OconOCO,Renault,1:27.011
15,63,George RussellRUS,Williams Mercedes,1:27.455
16,26,Daniil KvyatKVY,AlphaTauri Honda,1:27.882
17,20,Kevin MagnussenMAG,Haas Ferrari,1:28.236
18,6,Nicholas LatifiLAT,Williams Mercedes,1:28.430
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:28.433
20,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:28.493
